PT_N2_12_2,PT_N2_08,PT_LO2_07,PT_N2_15,PT_N2_16,PT_N2_17,PT_FU_01_2,PT_GO2_05
-375.06390380859375,-1250.915283203125,-374.96636962890625,-74.93814086914062,-74.95623779296875,-75.0230484008789,-500.2782897949219,-374.9027099609375
-374.8795471191406,-1249.7879638671875,-374.9048767089844,-74.9873275756836,-74.98699188232422,-74.97998046875,-499.9091491699219,-374.9949645996094
-374.7259216308594,-1249.275634765625,-374.9971008300781,-75.0303726196289,-74.9931411743164,-74.98612976074219,-499.8681335449219,-375.05645751953125
-375.0331726074219,-1249.173095703125,-374.7511291503906,-75.00577545166016,-75.0423355102539,-75.00459289550781,-499.9911804199219,-374.8719482421875
-374.9102783203125,-1249.7879638671875,-374.96636962890625,-74.99962615966797,-75.01158905029297,-75.00459289550781,-500.0732116699219,-374.9642028808594
-375.2482604980469,-1251.017822265625,-375.05859375,-74.9873275756836,-74.95623779296875,-74.93690490722656,-499.6630554199219,-374.9334411621094
-374.8180847167969,-1249.0706787109375,-374.8433837890625,-75.01192474365234,-75.02388763427734,-74.9922866821289,-499.9911804199219,-374.9027099609375
-375.0331726074219,-1249.8905029296875,-374.93560791015625,-74.9873275756836,-75.01158905029297,-74.9984359741211,-499.8271179199219,-374.9334411621094
-374.94097900390625,-1249.8905029296875,-374.9048767089844,-74.99962615966797,-74.9808349609375,-74.98612976074219,-499.9501647949219,-374.8411865234375
-374.6951904296875,-1249.0706787109375,-374.7511291503906,-74.98118591308594,-75.02388763427734,-75.04766082763672,-500.1142272949219,-374.9642028808594
-374.8795471191406,-1249.4805908203125,-374.93560791015625,-74.9873275756836,-74.9992904663086,-74.9984359741211,-499.9911804199219,-374.9642028808594
-374.9102783203125,-1249.8905029296875,-375.0278625488281,-75.00577545166016,-74.98699188232422,-74.98612976074219,-499.8271179199219,-374.9334411621094
-375.00244140625,-1249.7879638671875,-374.93560791015625,-74.9873275756836,-75.01158905029297,-74.9922866821289,-499.7861022949219,-374.9334411621094
-375.00244140625,-1249.7879638671875,-374.8741149902344,-75.00577545166016,-74.9992904663086,-74.98612976074219,-499.9091491699219,-375.11798095703125
-374.8795471191406,-1249.7879638671875,-375.05859375,-74.99347686767578,-74.98699188232422,-74.97998046875,-499.9501647949219,-375.2102355957031
-375.0946350097656,-1250.1978759765625,-374.93560791015625,-74.98118591308594,-74.97468566894531,-74.9922866821289,-499.9501647949219,-375.08721923828125
-375.1867980957031,-1250.50537109375,-374.93560791015625,-74.95658874511719,-74.97468566894531,-75.01689910888672,-500.3603210449219,-374.9334411621094
-374.8180847167969,-1250.6077880859375,-375.1200866699219,-74.99962615966797,-74.98699188232422,-74.97998046875,-500.0732116699219,-374.9027099609375
-374.94097900390625,-1248.9681396484375,-374.72039794921875,-74.9873275756836,-75.0423355102539,-74.9922866821289,-499.9911804199219,-374.9334411621094
-374.9102783203125,-1249.992919921875,-375.08935546875,-74.99962615966797,-74.9992904663086,-74.9984359741211,-499.9911804199219,-374.8719482421875
-374.6644592285156,-1249.5830078125,-375.1200866699219,-75.0365219116211,-74.9931411743164,-74.9922866821289,-499.9091491699219,-374.9027099609375
-375.0946350097656,-1249.275634765625,-374.7511291503906,-75.02422332763672,-75.01158905029297,-74.9984359741211,-499.8681335449219,-374.8719482421875
-375.37115478515625,-1250.6077880859375,-375.1816101074219,-74.9873275756836,-74.98699188232422,-74.9676742553711,-499.8271179199219,-374.9949645996094
-375.49407958984375,-1249.5830078125,-374.68963623046875,-75.04267120361328,-74.97468566894531,-74.98612976074219,-500.0732116699219,-374.8411865234375
-374.94097900390625,-1249.5830078125,-374.8433837890625,-74.99347686767578,-74.9808349609375,-75.00459289550781,-500.2782897949219,-375.364013671875
-374.9717102050781,-1249.5830078125,-374.8741149902344,-74.99347686767578,-74.98699188232422,-74.9984359741211,-500.2372741699219,-375.364013671875
-375.1253662109375,-1249.8905029296875,-374.93560791015625,-74.9873275756836,-74.98699188232422,-74.98612976074219,-499.9911804199219,-375.2717590332031
