PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2
-92.95637512207031,-78.23738098144531,-80.7672119140625,-66.73816680908203,-67.19813537597656,-80.53722381591797,-69.95794677734375,-93.64633178710938,108.25556945800781,43.30222702026367,43.30222702026367,-285.1030578613281
-82.1471176147461,-90.65653228759766,-75.47756958007812,-92.95637512207031,-73.17772674560547,-76.39750671386719,-70.64789581298828,-79.15731811523438,108.25556945800781,43.30222702026367,43.30222702026367,-285.51885986328125
-74.32764434814453,-92.72639465332031,-81.22718048095703,-92.72639465332031,-75.2475814819336,-81.22718048095703,-67.6581039428711,-82.3770980834961,108.25556945800781,43.30222702026367,43.30222702026367,-285.1492614746094
-85.82686614990234,-87.20677185058594,-90.65653228759766,-78.69734954833984,-93.87631225585938,-74.32764434814453,-72.71775817871094,-92.49640655517578,108.25556945800781,43.30222702026367,43.30222702026367,-285.5650634765625
-89.04664611816406,-73.86767578125,-84.67694091796875,-95.02623748779297,-76.85747528076172,-77.31744384765625,-72.71775817871094,-88.58667755126953,108.25556945800781,43.30222702026367,43.30222702026367,-286.5198974609375
-90.42655181884766,-89.96658325195312,-91.57646942138672,-78.00739288330078,-80.30724334716797,-84.67694091796875,-78.92733764648438,-67.19813537597656,108.25556945800781,43.30222702026367,43.30222702026367,-284.7796325683594
-93.64633178710938,-76.16751861572266,-78.00739288330078,-89.04664611816406,-67.19813537597656,-77.31744384765625,-63.97835159301758,-78.69734954833984,108.25556945800781,43.30222702026367,43.30222702026367,-285.31866455078125
-75.0176010131836,-71.33785247802734,-82.60708618164062,-82.1471176147461,-75.93753814697266,-83.52702331542969,-60.75857162475586,-81.68714904785156,108.25556945800781,43.30222702026367,43.30222702026367,-283.8863830566406
-70.87788391113281,-77.54742431640625,-62.82843017578125,-82.1471176147461,-53.39907455444336,-71.79782104492188,-65.81822967529297,-55.46893310546875,108.25556945800781,43.30222702026367,43.30222702026367,-283.6707763671875
-58.68871307373047,-69.49797821044922,-56.15888595581055,-90.19656372070312,-63.28839874267578,-67.8880844116211,-38.45009231567383,-67.6581039428711,108.25556945800781,43.30222702026367,43.30222702026367,-284.37921142578125
-58.68871307373047,-72.2577896118164,-65.35826110839844,-61.90849304199219,-57.768775939941406,-63.058414459228516,-61.448524475097656,-53.85904312133789,108.25556945800781,43.30222702026367,43.30222702026367,-284.4562072753906
-71.56783294677734,-55.698917388916016,-67.8880844116211,-61.448524475097656,-56.848838806152344,-62.13847732543945,-39.140045166015625,-75.47756958007812,108.25556945800781,43.30222702026367,43.30222702026367,-283.4859619140625
-65.81822967529297,-61.448524475097656,-64.43832397460938,-68.57804107666016,-62.82843017578125,-61.67850875854492,-54.31901168823242,-57.768775939941406,108.25556945800781,43.30222702026367,43.30222702026367,-284.5486145019531
-69.95794677734375,-60.75857162475586,-73.17772674560547,-59.60865020751953,-57.99876022338867,-65.35826110839844,-39.82999801635742,-74.55763244628906,108.25556945800781,43.30222702026367,43.30222702026367,-283.6553649902344
-79.6172866821289,-79.6172866821289,-75.70755004882812,-68.80802154541016,-47.64946365356445,-59.60865020751953,-54.54899597167969,-81.91712951660156,108.25556945800781,43.30222702026367,43.30222702026367,-283.6553649902344
-65.35826110839844,-67.19813537597656,-69.95794677734375,-83.52702331542969,-53.39907455444336,-81.45716094970703,-54.77898025512695,-68.34805297851562,108.25556945800781,43.30222702026367,43.30222702026367,-285.0722351074219
-86.05684661865234,-69.26799011230469,-74.78761291503906,-86.9767837524414,-60.29860305786133,-84.67694091796875,-59.60865020751953,-74.32764434814453,108.25556945800781,43.30222702026367,43.30222702026367,-284.8258361816406
-66.04821014404297,-101.23580932617188,-73.17772674560547,-87.43675231933594,-80.53722381591797,-64.20833587646484,-74.09766387939453,-77.08745574951172,108.25556945800781,43.30222702026367,43.30222702026367,-284.718017578125
-70.18792724609375,-90.19656372070312,-90.42655181884766,-75.2475814819336,-94.56626892089844,-72.4877700805664,-70.41791534423828,-90.19656372070312,108.25556945800781,43.30222702026367,43.30222702026367,-285.5034484863281
-88.356689453125,-74.55763244628906,-98.93596649169922,-79.3873062133789,-81.68714904785156,-88.81665802001953,-67.8880844116211,-90.88652038574219,108.25556945800781,43.30222702026367,43.30222702026367,-286.4429016113281
-90.42655181884766,-78.46736145019531,-82.1471176147461,-90.65653228759766,-80.7672119140625,-77.77741241455078,-75.47756958007812,-85.13690948486328,108.25556945800781,43.30222702026367,43.30222702026367,-286.1348876953125
-69.95794677734375,-99.62592315673828,-86.9767837524414,-97.0960922241211,-78.23738098144531,-65.81822967529297,-69.72795867919922,-68.80802154541016,108.25556945800781,43.30222702026367,43.30222702026367,-286.78173828125
-72.02780151367188,-84.90692901611328,-71.79782104492188,-91.11650085449219,-82.1471176147461,-85.13690948486328,-91.80645751953125,-85.59687805175781,108.25556945800781,43.30222702026367,43.30222702026367,-286.3042907714844
-63.058414459228516,-76.39750671386719,-59.378665924072266,-76.16751861572266,-75.2475814819336,-79.84727478027344,-87.66674041748047,-80.53722381591797,108.25556945800781,43.30222702026367,43.30222702026367,-285.1184387207031
-70.87788391113281,-64.66830444335938,-84.67694091796875,-74.32764434814453,-70.87788391113281,-57.99876022338867,-46.959510803222656,-68.80802154541016,108.25556945800781,43.30222702026367,43.30222702026367,-285.5496520996094
-81.22718048095703,-66.5081787109375,-66.04821014404297,-54.77898025512695,-45.11963653564453,-61.67850875854492,-43.73973083496094,-71.79782104492188,108.25556945800781,43.30222702026367,43.30222702026367,-285.5650634765625
