cRIO Slot,Device Type,,,,,,,,,,
1,9476,,,,,,,,,,
2,9203,,,,,,,,,,
3,9203,,,,,,,,,,
4,9264,,,,,,,,,,
5,9205,,,,,,,,,,
6,9205,,,,,,,,,,
7,9205,,,,,,,,,,
8,9213,,,,,,,,,,
,,,,,,,,,,,
P&ID Name,DAQ Input,NI Channel,Device,V/C,Min,Max,Terminal Config,,,,
,AI 01,,NC,,,,,,,,
,AI 02,,NC,,,,,,,,
,AI 03,,NC,,,,,,,,
,AI 04,,NC,,,,,,,,
,AI 05,,NC,,,,,,,,
,AI 06,,NC,,,,,,,,
,AI 07,,NC,,,,,,,,
,AI 08,,NC,,,,,,,,
,AI 09,,NC,,,,,,,,
,AI 10,,NC,,,,,,,,
,AI 11,,NC,,,,,,,,
,AI 12,,NC,,,,,,,,
,AI 13,,NC,,,,,,,,
,AI 14,,NC,,,,,,,,
,AI 15,,NC,,,,,,,,
,AI 16 ,,NC,,,,,,,,
,AI 17 ,,NC,,,,,,,,
,AI 18,,NC,,,,,,,,
,AI 19 ,,NC,,,,,,,,
,AI 20 ,,NC,,,,,,,,
,AI 21 ,NI9205-2-00,Ashcroft KM41,V,1,6,NRSE,"1 24 pos, 2 signal, 4 24 neg",,,
,AI 22 ,NI9205-2-03,Ashcroft KM41,V,1,6,NRSE,"1 24 pos, 2 signal, 4 24 neg",,,
,AI 23,NI9205-2-05,Ashcroft KM41,V,1,6,NRSE,"1 24 pos, 2 signal, 4 24 neg",,,
,AI 24,NI9205-2-13,Ashcroft KM41,V,1,6,NRSE,"1 24 pos, 2 signal, 4 24 neg",,,
,AI 25,NI9203-2-00,Wika,C,4,20,,"1 24 pos, 3 signal ",,,
,AI 26,NI9203-2-03,,C,4,20,,"1 24+, 4 signal",,,
,AI 27,NI9205-2-01,Ashcroft KM41,V,1,6,NRSE,"1 24 pos, 2 signal, 4 24 neg",,,
,AI 28,NI9205-2-07,Ashcroft KM41,V,1,6,NRSE,"1 24 pos, 2 signal, 4 24 neg",,,
,AI 29,NI9205-2-11,Ashcroft KM41,V,1,6,NRSE,"1 24 pos. 2 signal, 4 24 neg",,,
,AI 30,NI9205-2-12,Ashcroft KM41,V,1,6,NRSE,"1 24 pos, 2 signal, 4 24 neg",,,
,AI 31,NI9205-2-06,MMSG2.5K,V,0,5,,"1 24 pos,.3 signal, 4 24 neg",,,
,AI 32,NI9205-2-10,PCB,V,0,5,,"1 24 pos, 2 signal,3 24 neg",,,
,AI 33,NI9205-2-09,PCB,V,0,5,,"1 24 pos, 2 signal, 3 neg",,,
,AI 34,NI9203-1-04,Ashcroft A4SB,C,4,20,,"1 24 pos, 4 signal",,,
,AI 35,NI9203-2-05,Ashcroft A4SB,C,4,20,,"1 24 pos, 4 signal",,,
,AI 36,NI9203-2-01,GT2250,C,4,20,,"1 24 pos, 4 signal ",,,
,AI 37,NI9203-1-06,MMSG1.5K,C,4,20,,"1 24 pos, 3 signal, 4 24 neg",,,
,AI 38,NI9203-1-07,MMSG1.5K,C,4,20,,"1 24 pos, 3 signal, 4 24 neg",,,
,AI 39,NI9205-3-05,ST1500,V,0,10,,"1 12 pos, 2 signal+, 3 signal-, 4 12 neg",,,
,AI 40,NI9205-2-08,MMSG2.5K,V,0,5,,"1 24 pos, 3 signal, 4 24 neg",,,
,AI 41,NI9203-2-02,GP50,C,4,20,,"1 24 pos, 4 signal",,,
,AI 42,NI9203-2-03,GP50,C,4,20,,"1 24 pos, 4 signal",,,
,AI 43,NI9203-2-07,GP50,C,4,20,,"1 24 pos, 4 signal",,,
,AI 44,NI9203-1-01,GP50,C,4,20,,"1 24 pos, 4 signal",,,
,AI 45,NI9203-1-00,Ashcroft A4SB,C,4,20,,"1 24 pos, 4 signal",,,
,AI 46,NI9203-1-02,ST1550,C,4,20,,"1 24 pos, 2 signal",,,
,AI 47,NI9203-2-06,ST1550,C,4,20,,"1 24 pos, 2 signal",,,
,AI 48,NI9205-3-01,druck,V,0,10,,"1 12 pos, 2 signal+, 3 signal-, 4 12 neg,",,,
,AI 49,NI9205-3-02,druck,V,0,10,,"1 12 pos, 2 signal+, 3 signal-, 4 12 neg ",,,
,AI 50,NI9205-3-00,druck,V,0,10,,"1 12 pos, 2 signal+, 3 signal-, 4 12 neg",,,
,AI 51,NI9205-1-14,Kulite,V,0,0.075,,"1 12 pos, 2 signal+, 3 signal-, 4 12 neg",,,
,AI 52,NI9205-3-04,druck,V,0,10,,"1 12 pos, 2 signal+, 3 signal-, 4 12 neg",,,
,AI 53,NI9205-3-03,druck,V,0,10,,"1 12 pos, 2 signal+, 3 signal-, 4 12 neg",,,
,AI 54,NI9205-2-14,,C,4,20,,"4 24 pos, 3 24 neg, 1 signal",,,
,AI 55,NI9203-2-04,MMSG1.5K,C,4,20,,"1 24 pos, 3 signal, 4 24 neg",,,
,,,,,,,,,,,
,AO 1,NI9264-1-00,E-reg,V,0,10,,,,,
,AO 2,NI9264-1-01,E-reg,V,0,10,,,,,
,AO 3,NI9264-1-02,Spark plug,V,0,5,,,,,
