PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2
-101.23580932617188,-110.2052001953125,-84.67694091796875,-100.54586029052734,-86.28683471679688,-107.90535736083984,-88.126708984375,-104.2256088256836,108.25556945800781,43.30222702026367,43.30222702026367,-287.1513366699219
-99.62592315673828,-102.61571502685547,-104.45559692382812,-89.5066146850586,-92.03643798828125,-71.79782104492188,-69.03800964355469,-89.96658325195312,108.25556945800781,43.30222702026367,43.30222702026367,-287.2899475097656
-95.02623748779297,-101.4657974243164,-102.15574645996094,-92.26642608642578,-90.42655181884766,-79.6172866821289,-62.36846160888672,-82.1471176147461,108.25556945800781,43.30222702026367,43.30222702026367,-286.98193359375
-91.34648895263672,-92.26642608642578,-82.1471176147461,-99.16595458984375,-80.30724334716797,-86.28683471679688,-78.23738098144531,-67.8880844116211,108.25556945800781,43.30222702026367,43.30222702026367,-286.56610107421875
-82.83706665039062,-90.65653228759766,-93.41634368896484,-83.98699188232422,-93.87631225585938,-71.79782104492188,-70.64789581298828,-85.59687805175781,108.25556945800781,43.30222702026367,43.30222702026367,-285.7190856933594
-87.20677185058594,-72.94773864746094,-99.62592315673828,-86.51681518554688,-82.3770980834961,-80.9971923828125,-77.31744384765625,-67.8880844116211,108.25556945800781,43.30222702026367,43.30222702026367,-287.0589294433594
-76.16751861572266,-87.43675231933594,-82.3770980834961,-93.18636322021484,-71.79782104492188,-79.15731811523438,-77.54742431640625,-72.71775817871094,108.25556945800781,43.30222702026367,43.30222702026367,-286.2427062988281
-89.7365951538086,-74.78761291503906,-97.78604888916016,-81.22718048095703,-78.69734954833984,-85.82686614990234,-58.918697357177734,-96.63612365722656,108.25556945800781,43.30222702026367,43.30222702026367,-285.24163818359375
-76.39750671386719,-103.53565216064453,-74.32764434814453,-92.03643798828125,-86.28683471679688,-68.57804107666016,-78.46736145019531,-82.60708618164062,108.25556945800781,43.30222702026367,43.30222702026367,-284.8874206542969
-100.08589172363281,-96.63612365722656,-96.40614318847656,-88.58667755126953,-69.72795867919922,-84.90692901611328,-75.0176010131836,-106.52545166015625,108.25556945800781,43.30222702026367,43.30222702026367,-287.02813720703125
