time_chanNI9203_1,PT_FU_02,PT_N2_05,PT_GO2_04_1,PT_N2_19,PT_FU_01_1,PT_LO2_05,PT_N2_06,PT_GO2_03_1
1.775875849710076e+18,-375.3422546386719,-1251.1383056640625,-375.001708984375,-74.95841979980469,-499.72186279296875,-374.69622802734375,-366.41259765625,-374.5784912109375
1.7758758497110758e+18,-374.8807067871094,-1248.6763916015625,-374.7554626464844,-74.9399642944336,-499.80389404296875,-374.8193054199219,-368.321044921875,-374.947509765625
1.7758758497120758e+18,-375.3422546386719,-1250.420166015625,-374.7862548828125,-75.01993560791016,-500.6241455078125,-374.9423828125,-366.5664978027344,-375.0397644042969
1.7758758497130757e+18,-374.9114685058594,-1248.5738525390625,-375.032470703125,-75.05068969726562,-499.76287841796875,-374.4808349609375,-375.862548828125,-375.2550354003906
1.7758758497140756e+18,-374.9114685058594,-1250.7279052734375,-375.40179443359375,-75.00763702392578,-499.8448791503906,-375.09625244140625,-383.52716064453125,-375.13201904296875
1.7758758497150758e+18,-374.8807067871094,-1248.984130859375,-374.8170166015625,-75.01378631591797,-500.4190673828125,-375.55780029296875,-377.5555419921875,-374.76300048828125
1.7758758497160758e+18,-375.0345458984375,-1250.5228271484375,-375.0632629394531,-75.00763702392578,-500.2140197753906,-375.0039367675781,-372.3226623535156,-375.2550354003906
1.7758758497170757e+18,-375.1883850097656,-1250.420166015625,-374.69390869140625,-74.92766571044922,-500.0499572753906,-375.2808532714844,-381.187744140625,-374.6092529296875
1.7758758497180756e+18,-374.7575988769531,-1249.4969482421875,-374.8170166015625,-74.9707260131836,-499.47576904296875,-374.7885437011719,-372.9998474121094,-375.3165283203125
1.7758758497190756e+18,-375.3730163574219,-1251.1383056640625,-375.001708984375,-74.97687530517578,-499.43475341796875,-375.0039367675781,-378.140380859375,-375.50103759765625
1.7758758497200758e+18,-375.1268615722656,-1249.3944091796875,-374.6323547363281,-75.03839111328125,-500.1730041503906,-374.7885437011719,-373.98486328125,-375.50103759765625
1.7758758497210757e+18,-374.8807067871094,-1248.7789306640625,-375.12481689453125,-75.03839111328125,-500.2550354003906,-374.7577819824219,-366.9358825683594,-374.947509765625
1.7758758497220756e+18,-374.8807067871094,-1250.0098876953125,-375.032470703125,-75.03224182128906,-500.2550354003906,-375.61932373046875,-383.52716064453125,-375.2242736816406
1.7758758497230756e+18,-375.3730163574219,-1251.03564453125,-374.8478088378906,-74.98302459716797,-499.8858947753906,-375.4346923828125,-381.187744140625,-374.7322692871094
1.7758758497240758e+18,-374.9114685058594,-1250.0098876953125,-375.4325866699219,-75.00148010253906,-499.8448791503906,-375.15777587890625,-383.52716064453125,-374.978271484375
1.7758758497250757e+18,-374.81915283203125,-1249.7021484375,-374.8785705566406,-75.00148010253906,-500.2550354003906,-375.3731689453125,-383.1885681152344,-375.2242736816406
1.7758758497260756e+18,-374.8807067871094,-1248.47119140625,-374.8170166015625,-75.00763702392578,-499.8858947753906,-375.12701416015625,-379.77178955078125,-375.5625305175781
1.7758758497270756e+18,-375.0653076171875,-1250.6253662109375,-374.6323547363281,-75.00148010253906,-500.2960205078125,-374.69622802734375,-360.8103332519531,-375.2857971191406
1.7758758497280758e+18,-375.0960998535156,-1251.548583984375,-374.8785705566406,-74.9707260131836,-500.1730041503906,-374.91162109375,-362.74957275390625,-375.0397644042969
1.7758758497290757e+18,-374.6960754394531,-1250.0098876953125,-375.2479248046875,-74.9707260131836,-499.47576904296875,-375.2808532714844,-380.8491516113281,-374.8860168457031
1.7758758497300756e+18,-375.1576232910156,-1250.6253662109375,-375.37103271484375,-75.00763702392578,-499.76287841796875,-374.7577819824219,-362.1339416503906,-375.1012878417969
1.7758758497310756e+18,-374.6960754394531,-1249.599609375,-375.0940246582031,-75.01378631591797,-500.2960205078125,-375.2808532714844,-383.52716064453125,-375.19354248046875
1.7758758497320755e+18,-375.28070068359375,-1250.317626953125,-374.69390869140625,-74.95841979980469,-499.76287841796875,-374.7577819824219,-361.518310546875,-375.0397644042969
1.7758758497330757e+18,-374.81915283203125,-1250.317626953125,-375.15557861328125,-75.08145141601562,-500.5831298828125,-375.18853759765625,-383.52716064453125,-375.50103759765625
1.7758758497340756e+18,-374.9422302246094,-1251.2408447265625,-375.12481689453125,-74.95841979980469,-499.55780029296875,-375.2808532714844,-381.09539794921875,-374.79376220703125
1.7758758497350756e+18,-375.0653076171875,-1251.3433837890625,-374.9401550292969,-74.97687530517578,-500.2960205078125,-375.5270080566406,-372.2918701171875,-374.9167785644531
1.7758758497360755e+18,-374.81915283203125,-1249.599609375,-375.2786865234375,-74.9707260131836,-499.55780029296875,-375.3116149902344,-380.2643127441406,-374.947509765625
1.7758758497370755e+18,-374.81915283203125,-1250.215087890625,-375.46337890625,-74.97687530517578,-499.76287841796875,-375.12701416015625,-383.52716064453125,-374.6400146484375
1.7758758497380756e+18,-374.84991455078125,-1248.6763916015625,-375.3094787597656,-75.01378631591797,-499.80389404296875,-375.18853759765625,-383.52716064453125,-374.978271484375
1.7758758497390756e+18,-375.0037841796875,-1249.599609375,-374.6015930175781,-74.97687530517578,-499.63983154296875,-375.12701416015625,-379.77178955078125,-375.47027587890625
1.7758758497400755e+18,-375.31146240234375,-1251.03564453125,-375.2171325683594,-75.06299591064453,-500.3370361328125,-375.2808532714844,-375.4931640625,-375.16278076171875
1.7758758497410755e+18,-375.1268615722656,-1250.6253662109375,-375.0940246582031,-75.00763702392578,-499.51678466796875,-374.66546630859375,-362.6880187988281,-374.82452392578125
1.7758758497420754e+18,-375.31146240234375,-1250.215087890625,-374.8785705566406,-74.9645767211914,-500.2960205078125,-375.2808532714844,-369.0906066894531,-374.5169982910156
1.7758758497430756e+18,-375.0345458984375,-1251.548583984375,-374.90936279296875,-74.95841979980469,-500.0909729003906,-375.4654846191406,-365.6122741699219,-374.947509765625
1.7758758497440755e+18,-374.81915283203125,-1250.1124267578125,-375.46337890625,-74.98918151855469,-499.76287841796875,-375.0654602050781,-383.52716064453125,-374.6707458496094
1.7758758497450755e+18,-374.9729919433594,-1251.1383056640625,-375.0940246582031,-74.95841979980469,-500.1319885253906,-375.58856201171875,-374.63128662109375,-374.79376220703125
1.7758758497460754e+18,-375.0960998535156,-1250.6253662109375,-375.3094787597656,-75.05684661865234,-500.2550354003906,-375.5270080566406,-381.156982421875,-375.2550354003906
1.7758758497470753e+18,-374.8807067871094,-1250.7279052734375,-375.3402404785156,-74.98302459716797,-499.9269104003906,-375.4654846191406,-383.52716064453125,-374.76300048828125
1.7758758497480755e+18,-374.9114685058594,-1250.420166015625,-375.40179443359375,-75.06914520263672,-500.2550354003906,-375.2808532714844,-379.8025817871094,-374.82452392578125
1.7758758497490755e+18,-375.31146240234375,-1250.0098876953125,-374.8478088378906,-74.99533081054688,-500.5421142578125,-375.0654602050781,-368.6904296875,-374.8552551269531
1.7758758497500754e+18,-374.7575988769531,-1249.4969482421875,-375.0632629394531,-75.08760070800781,-500.0499572753906,-374.69622802734375,-372.56890869140625,-375.50103759765625
1.7758758497510753e+18,-375.0960998535156,-1249.599609375,-374.8478088378906,-75.06914520263672,-500.1319885253906,-374.8500671386719,-368.59808349609375,-375.4395446777344
1.7758758497520753e+18,-375.24993896484375,-1250.420166015625,-374.90936279296875,-74.95841979980469,-500.4600830078125,-375.0346984863281,-368.9059143066406,-375.19354248046875
1.7758758497530755e+18,-375.24993896484375,-1250.1124267578125,-374.6323547363281,-74.9399642944336,-499.72186279296875,-374.7577819824219,-361.2720642089844,-374.978271484375
1.7758758497540754e+18,-375.31146240234375,-1249.8046875,-374.7862548828125,-75.03839111328125,-500.5831298828125,-374.9423828125,-368.22869873046875,-375.2242736816406
1.7758758497550753e+18,-374.6960754394531,-1249.2918701171875,-374.9709167480469,-74.97687530517578,-500.1730041503906,-375.2808532714844,-383.52716064453125,-375.47027587890625
1.7758758497560753e+18,-375.31146240234375,-1250.0098876953125,-374.8478088378906,-75.03839111328125,-500.5831298828125,-374.8500671386719,-368.41339111328125,-375.3472900390625
1.7758758497570752e+18,-374.81915283203125,-1249.2918701171875,-374.6015930175781,-74.95841979980469,-499.8448791503906,-374.4808349609375,-367.9208984375,-375.1012878417969
1.7758758497580754e+18,-375.31146240234375,-1250.6253662109375,-375.001708984375,-74.9707260131836,-499.68084716796875,-374.8193054199219,-363.88848876953125,-375.0705261230469
1.7758758497590753e+18,-374.9114685058594,-1248.7789306640625,-374.9401550292969,-75.04454040527344,-500.4190673828125,-375.5270080566406,-381.0338439941406,-375.53179931640625
1.7758758497600753e+18,-375.0960998535156,-1250.1124267578125,-374.90936279296875,-74.92766571044922,-499.59881591796875,-374.66546630859375,-366.1663513183594,-374.5784912109375
1.7758758497610752e+18,-374.9114685058594,-1249.9073486328125,-374.9401550292969,-75.00148010253906,-500.2550354003906,-375.4654846191406,-382.8807373046875,-375.2550354003906
1.7758758497620751e+18,-375.31146240234375,-1250.7279052734375,-375.3402404785156,-75.06299591064453,-500.0909729003906,-374.880859375,-376.53973388671875,-374.8552551269531
1.7758758497630753e+18,-375.0345458984375,-1250.7279052734375,-375.2171325683594,-75.02608489990234,-500.2550354003906,-375.4346923828125,-382.4805908203125,-375.2857971191406
1.7758758497640753e+18,-375.21917724609375,-1250.7279052734375,-374.8478088378906,-74.97687530517578,-499.8448791503906,-374.5731506347656,-372.01483154296875,-375.16278076171875
1.7758758497650752e+18,-375.0653076171875,-1250.83056640625,-375.1863708496094,-75.01993560791016,-500.3370361328125,-375.3116149902344,-378.23272705078125,-375.2242736816406
1.7758758497660751e+18,-375.31146240234375,-1251.4459228515625,-375.12481689453125,-75.00763702392578,-499.8858947753906,-374.8193054199219,-364.6888122558594,-374.5477600097656
1.775875849767075e+18,-374.9422302246094,-1248.984130859375,-374.6015930175781,-74.9645767211914,-500.0089416503906,-375.0039367675781,-376.72442626953125,-375.19354248046875
1.7758758497680753e+18,-375.31146240234375,-1251.1383056640625,-375.1863708496094,-75.04454040527344,-500.0089416503906,-374.97314453125,-361.3028564453125,-374.76300048828125
1.7758758497690752e+18,-375.0960998535156,-1250.83056640625,-375.3094787597656,-75.04454040527344,-499.63983154296875,-374.69622802734375,-366.72039794921875,-375.009033203125
1.7758758497700751e+18,-375.1576232910156,-1251.03564453125,-375.40179443359375,-75.04454040527344,-500.6241455078125,-375.4654846191406,-375.5239562988281,-374.6400146484375
1.775875849771075e+18,-374.7575988769531,-1248.7789306640625,-374.7862548828125,-74.99533081054688,-500.0089416503906,-375.2500915527344,-380.1719665527344,-375.50103759765625
1.775875849772075e+18,-375.0037841796875,-1249.1893310546875,-374.57080078125,-74.98918151855469,-500.1730041503906,-375.55780029296875,-383.52716064453125,-375.16278076171875
