time_chanNI9203_2,PT_N2_12_2,PT_N2_08,PT_LO2_07,PT_N2_15,PT_N2_16,PT_N2_17,PT_FU_01_2,PT_GO2_05
1.7758758497099228e+18,-375.1253662109375,-1251.1202392578125,-375.3045959472656,-75.00577545166016,-74.9808349609375,-74.97998046875,-499.8271179199219,-374.59515380859375
1.775875849710923e+18,-375.06390380859375,-1250.7103271484375,-375.24310302734375,-75.01807403564453,-75.06078338623047,-75.05381774902344,-500.1142272949219,-375.4562683105469
1.7758758497119235e+18,-375.06390380859375,-1249.3780517578125,-374.9971008300781,-75.04267120361328,-74.9931411743164,-74.97382354736328,-500.3603210449219,-375.2409973144531
1.7758758497129236e+18,-374.7566223144531,-1250.095458984375,-375.3660888671875,-74.96888732910156,-74.95623779296875,-74.9984359741211,-500.1142272949219,-374.56439208984375
1.7758758497139238e+18,-374.9717102050781,-1250.6077880859375,-374.7511291503906,-74.94429016113281,-74.9992904663086,-75.0230484008789,-500.1552429199219,-374.56439208984375
1.7758758497149243e+18,-374.9102783203125,-1249.3780517578125,-374.6281433105469,-75.01192474365234,-75.01773834228516,-75.03535461425781,-499.7861022949219,-374.7181701660156
1.7758758497159245e+18,-374.572265625,-1249.173095703125,-374.8126220703125,-74.93814086914062,-74.95008850097656,-74.96151733398438,-499.4580078125,-374.6874084472656
1.7758758497169247e+18,-375.4326171875,-1250.1978759765625,-374.68963623046875,-74.99347686767578,-75.06693267822266,-75.01689910888672,-499.6630554199219,-374.9949645996094
1.775875849717925e+18,-375.1253662109375,-1249.992919921875,-374.8741149902344,-74.97503662109375,-74.95623779296875,-74.93075561523438,-499.8681335449219,-375.05645751953125
1.7758758497189253e+18,-375.15606689453125,-1250.50537109375,-374.8126220703125,-74.96888732910156,-74.9808349609375,-75.0230484008789,-500.44232177734375,-374.9949645996094
1.7758758497199258e+18,-374.9102783203125,-1249.3780517578125,-375.0278625488281,-74.97503662109375,-74.931640625,-75.0107421875,-500.1552429199219,-374.8104248046875
1.775875849720926e+18,-374.6951904296875,-1250.095458984375,-375.3353271484375,-75.04267120361328,-75.01158905029297,-74.96151733398438,-499.4169921875,-374.8104248046875
1.7758758497219261e+18,-374.5415344238281,-1249.0706787109375,-374.93560791015625,-74.97503662109375,-74.9931411743164,-75.0107421875,-500.3603210449219,-375.333251953125
1.7758758497229266e+18,-375.1867980957031,-1249.4805908203125,-374.597412109375,-74.97503662109375,-75.00543975830078,-75.05381774902344,-499.9091491699219,-374.6566467285156
1.7758758497239268e+18,-374.94097900390625,-1250.1978759765625,-374.7818908691406,-74.950439453125,-74.9992904663086,-75.0230484008789,-499.8271179199219,-374.7796936035156
1.775875849724927e+18,-374.6029968261719,-1249.275634765625,-374.8433837890625,-74.950439453125,-74.97468566894531,-75.0107421875,-500.0732116699219,-375.2717590332031
1.7758758497259274e+18,-374.8180847167969,-1249.275634765625,-374.6281433105469,-74.96273803710938,-74.97468566894531,-74.9676742553711,-499.9911804199219,-375.11798095703125
1.7758758497269276e+18,-375.217529296875,-1249.3780517578125,-374.9971008300781,-75.04882049560547,-74.97468566894531,-74.9676742553711,-499.9911804199219,-375.2102355957031
1.7758758497279278e+18,-375.3097229003906,-1249.5830078125,-374.8741149902344,-75.04267120361328,-75.01773834228516,-74.94921112060547,-499.9911804199219,-375.425537109375
1.7758758497289283e+18,-374.9717102050781,-1251.017822265625,-374.8126220703125,-74.97503662109375,-74.9992904663086,-75.0230484008789,-499.4580078125,-374.9027099609375
1.7758758497299284e+18,-375.2482604980469,-1251.017822265625,-375.08935546875,-74.96273803710938,-74.94393920898438,-74.95536804199219,-499.7450866699219,-374.7796936035156
1.775875849730929e+18,-374.787353515625,-1248.5582275390625,-374.7818908691406,-74.99962615966797,-75.02388763427734,-75.04766082763672,-500.1962585449219,-375.11798095703125
1.775875849731929e+18,-375.4633483886719,-1250.812744140625,-375.0278625488281,-74.96273803710938,-74.95008850097656,-74.96151733398438,-499.7861022949219,-374.6874084472656
1.7758758497329293e+18,-374.9102783203125,-1249.275634765625,-374.93560791015625,-75.00577545166016,-75.00543975830078,-75.0107421875,-500.1962585449219,-375.2717590332031
1.7758758497339297e+18,-375.0946350097656,-1251.017822265625,-374.8433837890625,-74.96273803710938,-75.01158905029297,-75.06611633300781,-499.9911804199219,-374.6566467285156
1.77587584973493e+18,-375.1867980957031,-1249.3780517578125,-374.6281433105469,-75.01807403564453,-75.02388763427734,-74.9676742553711,-499.5810546875,-375.364013671875
1.77587584973593e+18,-375.00244140625,-1251.1202392578125,-374.8741149902344,-74.97503662109375,-75.01158905029297,-75.00459289550781,-499.5400390625,-374.8104248046875
1.7758758497369306e+18,-375.00244140625,-1251.017822265625,-374.9048767089844,-74.9873275756836,-75.0484848022461,-75.03535461425781,-499.6220397949219,-374.9949645996094
1.7758758497379308e+18,-374.8180847167969,-1250.1978759765625,-374.8433837890625,-74.950439453125,-75.00543975830078,-75.01689910888672,-499.6630554199219,-374.53363037109375
1.775875849738931e+18,-375.15606689453125,-1249.992919921875,-375.3353271484375,-75.04267120361328,-75.03618621826172,-74.97998046875,-499.8271179199219,-374.8411865234375
1.7758758497399314e+18,-374.9102783203125,-1248.9681396484375,-374.8433837890625,-74.9873275756836,-74.931640625,-74.96151733398438,-499.7450866699219,-374.53363037109375
1.7758758497409316e+18,-374.7259216308594,-1248.76318359375,-374.8741149902344,-74.99962615966797,-75.0423355102539,-75.04766082763672,-500.2372741699219,-375.3025207519531
1.775875849741932e+18,-375.1867980957031,-1249.0706787109375,-374.8126220703125,-74.99962615966797,-75.06078338623047,-74.9676742553711,-499.7040710449219,-375.05645751953125
1.7758758497429322e+18,-375.3404541015625,-1249.8905029296875,-374.7818908691406,-75.02422332763672,-75.03618621826172,-74.96151733398438,-499.9911804199219,-375.4562683105469
1.7758758497439324e+18,-375.00244140625,-1250.915283203125,-374.96636962890625,-74.97503662109375,-75.0484848022461,-75.04151153564453,-499.7450866699219,-374.9642028808594
1.7758758497449329e+18,-375.37115478515625,-1250.1978759765625,-374.8126220703125,-75.01192474365234,-75.06078338623047,-74.98612976074219,-499.7450866699219,-375.2409973144531
1.775875849745933e+18,-374.6029968261719,-1249.685546875,-374.9048767089844,-74.96273803710938,-74.97468566894531,-74.9922866821289,-499.6220397949219,-374.7489318847656
1.7758758497469332e+18,-375.0946350097656,-1250.40283203125,-374.8126220703125,-74.95658874511719,-75.0423355102539,-75.0107421875,-499.7861022949219,-375.05645751953125
1.7758758497479337e+18,-374.6644592285156,-1249.7879638671875,-375.1200866699219,-75.04267120361328,-75.06078338623047,-75.0107421875,-499.8681335449219,-374.9027099609375
1.775875849748934e+18,-374.84881591796875,-1249.0706787109375,-374.9048767089844,-75.01192474365234,-75.00543975830078,-74.93690490722656,-499.8271179199219,-375.05645751953125
1.775875849749934e+18,-374.84881591796875,-1250.095458984375,-375.3353271484375,-74.99962615966797,-74.96853637695312,-74.96151733398438,-500.3193054199219,-375.11798095703125
1.7758758497509345e+18,-374.572265625,-1249.3780517578125,-375.05859375,-74.99347686767578,-74.92549133300781,-74.9984359741211,-500.2372741699219,-374.7489318847656
1.7758758497519347e+18,-375.1867980957031,-1249.0706787109375,-374.8741149902344,-75.00577545166016,-74.96238708496094,-74.93690490722656,-500.1552429199219,-375.17950439453125
1.7758758497529352e+18,-375.4326171875,-1250.812744140625,-374.9971008300781,-74.96273803710938,-74.95623779296875,-74.95536804199219,-499.7450866699219,-374.53363037109375
1.7758758497539354e+18,-374.787353515625,-1248.86572265625,-375.0278625488281,-75.01807403564453,-74.96238708496094,-74.93075561523438,-500.1142272949219,-375.17950439453125
1.7758758497549356e+18,-374.63372802734375,-1248.86572265625,-374.7818908691406,-74.9873275756836,-74.96853637695312,-75.0107421875,-500.1142272949219,-375.425537109375
1.775875849755936e+18,-374.787353515625,-1248.76318359375,-375.05859375,-75.01807403564453,-74.96238708496094,-74.93690490722656,-500.0321960449219,-375.17950439453125
1.7758758497569362e+18,-375.06390380859375,-1249.685546875,-374.68963623046875,-74.96888732910156,-74.95623779296875,-74.96151733398438,-499.4169921875,-374.6566467285156
1.7758758497579364e+18,-375.4018859863281,-1250.812744140625,-374.9971008300781,-74.96273803710938,-74.931640625,-74.94921112060547,-499.8271179199219,-374.9334411621094
1.7758758497589368e+18,-374.7259216308594,-1249.4805908203125,-374.6281433105469,-74.98118591308594,-75.02388763427734,-75.0230484008789,-500.3193054199219,-375.2409973144531
1.775875849759937e+18,-375.217529296875,-1250.915283203125,-375.24310302734375,-75.00577545166016,-74.96853637695312,-74.9676742553711,-499.7861022949219,-374.59515380859375
1.7758758497609372e+18,-374.572265625,-1249.173095703125,-374.8433837890625,-74.95658874511719,-74.97468566894531,-75.0107421875,-500.1962585449219,-375.2102355957031
1.7758758497619377e+18,-375.1867980957031,-1250.50537109375,-375.1200866699219,-75.04882049560547,-75.05463409423828,-75.00459289550781,-500.3193054199219,-375.17950439453125
1.7758758497629379e+18,-374.5415344238281,-1249.275634765625,-374.8741149902344,-74.96273803710938,-74.97468566894531,-75.00459289550781,-499.9911804199219,-375.08721923828125
1.7758758497639383e+18,-375.3404541015625,-1250.3004150390625,-374.8126220703125,-74.96273803710938,-74.94393920898438,-74.97382354736328,-499.9091491699219,-375.17950439453125
1.7758758497649385e+18,-374.5415344238281,-1249.3780517578125,-374.7818908691406,-74.950439453125,-74.96853637695312,-74.9922866821289,-499.6220397949219,-374.8719482421875
1.7758758497659387e+18,-375.1253662109375,-1251.1202392578125,-375.3045959472656,-75.01192474365234,-75.02388763427734,-74.9984359741211,-499.7450866699219,-374.6566467285156
1.7758758497669391e+18,-375.0331726074219,-1249.4805908203125,-374.7511291503906,-74.94429016113281,-74.96238708496094,-74.98612976074219,-500.0732116699219,-375.17950439453125
1.7758758497679393e+18,-374.94097900390625,-1248.86572265625,-374.72039794921875,-74.93814086914062,-74.97468566894531,-74.9984359741211,-500.2782897949219,-375.333251953125
1.7758758497689395e+18,-374.8180847167969,-1249.992919921875,-375.3353271484375,-75.04267120361328,-74.9992904663086,-74.9676742553711,-499.5400390625,-375.0257263183594
1.77587584976994e+18,-374.84881591796875,-1250.1978759765625,-375.1200866699219,-75.0303726196289,-75.02388763427734,-75.05381774902344,-500.2782897949219,-375.0257263183594
1.7758758497709402e+18,-374.8795471191406,-1249.275634765625,-374.566650390625,-74.96888732910156,-75.01158905029297,-75.01689910888672,-500.2782897949219,-375.17950439453125
1.7758758497719404e+18,-374.9102783203125,-1249.3780517578125,-374.8126220703125,-74.96273803710938,-74.9931411743164,-75.01689910888672,-500.44232177734375,-375.2717590332031
1.7758758497729408e+18,-374.572265625,-1249.685546875,-375.1200866699219,-75.0365219116211,-75.06078338623047,-75.01689910888672,-499.9501647949219,-374.9334411621094
1.775875849773941e+18,-375.4633483886719,-1250.812744140625,-374.93560791015625,-74.950439453125,-74.94393920898438,-74.95536804199219,-499.8271179199219,-374.9642028808594
