time_chanNI9203_1,PT_FU_02,PT_N2_05,PT_GO2_04_1,PT_N2_19,PT_FU_01_1,PT_LO2_05,PT_N2_06,PT_GO2_03_1
1.7758738895038367e+18,-375.1268615722656,-1248.984130859375,-374.8478088378906,-75.01993560791016,-500.6241455078125,-375.2808532714844,-368.1671447753906,-375.0397644042969
1.7758738895048366e+18,-375.1883850097656,-1249.3944091796875,-374.6015930175781,-74.98302459716797,-500.1319885253906,-375.61932373046875,-378.81756591796875,-374.7015075683594
1.7758738895058365e+18,-374.9422302246094,-1248.7789306640625,-374.7862548828125,-74.9707260131836,-499.59881591796875,-374.4500732421875,-365.7969665527344,-374.8552551269531
1.7758738895068365e+18,-375.3422546386719,-1250.420166015625,-374.90936279296875,-74.9645767211914,-499.80389404296875,-374.7577819824219,-360.9334716796875,-374.8860168457031
1.7758738895078364e+18,-375.28070068359375,-1250.83056640625,-374.8785705566406,-74.9522705078125,-499.68084716796875,-374.9423828125,-376.0780029296875,-375.50103759765625
1.7758738895088364e+18,-374.9114685058594,-1249.3944091796875,-375.001708984375,-75.07530212402344,-500.1730041503906,-374.66546630859375,-360.8103332519531,-375.13201904296875
1.7758738895098363e+18,-375.31146240234375,-1250.6253662109375,-374.7554626464844,-74.9399642944336,-499.76287841796875,-375.15777587890625,-383.52716064453125,-375.4395446777344
1.7758738895108362e+18,-374.9114685058594,-1249.8046875,-375.4325866699219,-74.98302459716797,-499.8448791503906,-375.2808532714844,-370.598876953125,-374.947509765625
1.7758738895118362e+18,-374.9422302246094,-1250.215087890625,-375.40179443359375,-74.9707260131836,-500.0499572753906,-375.61932373046875,-372.16876220703125,-374.9167785644531
1.775873889512836e+18,-375.31146240234375,-1250.420166015625,-375.0940246582031,-75.00763702392578,-499.8858947753906,-374.5731506347656,-361.42596435546875,-374.82452392578125
1.775873889513836e+18,-374.81915283203125,-1248.5738525390625,-375.032470703125,-75.03839111328125,-500.0089416503906,-374.4500732421875,-368.4441833496094,-375.16278076171875
1.775873889514836e+18,-375.0037841796875,-1249.9073486328125,-374.8785705566406,-74.97687530517578,-499.51678466796875,-374.8500671386719,-377.5863037109375,-375.47027587890625
1.775873889515836e+18,-375.0653076171875,-1250.5228271484375,-375.3094787597656,-75.03839111328125,-500.5831298828125,-375.4654846191406,-381.156982421875,-375.3472900390625
1.7758738895168358e+18,-375.0653076171875,-1251.548583984375,-374.8478088378906,-74.97687530517578,-500.1319885253906,-374.880859375,-362.16473388671875,-375.009033203125
