time_chanNI9203_2,PT_N2_12_2,PT_N2_08,PT_LO2_07,PT_N2_15,PT_N2_16,PT_N2_17,PT_FU_01_2,PT_GO2_05
1.7758738895039235e+18,-374.8795471191406,-1249.3780517578125,-374.9971008300781,-75.0303726196289,-75.01158905029297,-74.97998046875,-499.6220397949219,-375.17950439453125
1.7758738895049236e+18,-375.1867980957031,-1249.275634765625,-374.8433837890625,-75.01807403564453,-75.0484848022461,-75.00459289550781,-499.7861022949219,-374.59515380859375
1.7758738895059236e+18,-375.3404541015625,-1250.3004150390625,-375.21234130859375,-75.01807403564453,-74.9992904663086,-74.9676742553711,-499.6630554199219,-374.7181701660156
1.7758738895069235e+18,-375.4018859863281,-1250.812744140625,-375.05859375,-74.9873275756836,-74.95623779296875,-74.96151733398438,-499.7040710449219,-374.56439208984375
1.7758738895079237e+18,-375.4018859863281,-1250.6077880859375,-374.93560791015625,-74.96888732910156,-74.92549133300781,-74.9984359741211,-500.1552429199219,-375.2717590332031
1.7758738895089236e+18,-374.6029968261719,-1249.685546875,-375.08935546875,-75.04882049560547,-74.97468566894531,-74.96151733398438,-500.0321960449219,-375.425537109375
1.7758738895099236e+18,-375.4326171875,-1250.6077880859375,-374.8741149902344,-74.98118591308594,-74.96238708496094,-75.03535461425781,-500.1552429199219,-375.2717590332031
1.7758738895109238e+18,-374.787353515625,-1250.915283203125,-374.8433837890625,-74.99962615966797,-75.0484848022461,-74.93690490722656,-500.1142272949219,-375.14874267578125
1.7758738895119237e+18,-375.06390380859375,-1250.1978759765625,-374.8741149902344,-74.99962615966797,-75.0484848022461,-74.97382354736328,-499.8681335449219,-375.4562683105469
1.7758738895129236e+18,-375.37115478515625,-1250.915283203125,-375.1508483886719,-75.02422332763672,-74.9992904663086,-74.97998046875,-499.6220397949219,-374.4721374511719
1.7758738895139238e+18,-374.7259216308594,-1250.095458984375,-375.3660888671875,-75.02422332763672,-74.96238708496094,-74.97382354736328,-500.1552429199219,-375.394775390625
1.7758738895149238e+18,-375.15606689453125,-1250.1978759765625,-374.8741149902344,-74.96273803710938,-74.97468566894531,-74.95536804199219,-500.0321960449219,-375.08721923828125
1.7758738895159237e+18,-374.787353515625,-1250.1978759765625,-375.1816101074219,-75.0303726196289,-75.02388763427734,-75.05381774902344,-500.3603210449219,-375.17950439453125
1.775873889516924e+18,-375.3404541015625,-1249.5830078125,-374.93560791015625,-75.04882049560547,-75.01158905029297,-74.94921112060547,-499.9091491699219,-375.394775390625
1.7758738895179238e+18,-375.2482604980469,-1249.275634765625,-374.9971008300781,-75.05496215820312,-74.97468566894531,-74.96151733398438,-500.0732116699219,-374.9949645996094
1.7758738895189238e+18,-375.37115478515625,-1249.7879638671875,-374.8741149902344,-75.0365219116211,-74.98699188232422,-74.9676742553711,-499.9911804199219,-374.8104248046875
1.775873889519924e+18,-374.8180847167969,-1249.275634765625,-374.8741149902344,-75.00577545166016,-75.0484848022461,-75.0107421875,-499.5810546875,-374.5028991699219
1.775873889520924e+18,-375.0331726074219,-1250.40283203125,-374.93560791015625,-74.95658874511719,-74.96853637695312,-75.0107421875,-500.48333740234375,-375.364013671875
1.775873889521924e+18,-374.5108337402344,-1249.5830078125,-374.9971008300781,-74.99347686767578,-75.00543975830078,-75.01689910888672,-500.4013366699219,-375.364013671875
1.775873889522924e+18,-375.1253662109375,-1249.275634765625,-374.6589050292969,-75.00577545166016,-75.02388763427734,-74.97382354736328,-499.6630554199219,-375.2717590332031
1.775873889523924e+18,-375.15606689453125,-1249.4805908203125,-374.597412109375,-75.01192474365234,-75.03003692626953,-74.96151733398438,-499.4990234375,-375.05645751953125
1.7758738895249242e+18,-374.94097900390625,-1248.9681396484375,-375.08935546875,-75.01807403564453,-74.96853637695312,-74.93075561523438,-500.0321960449219,-375.2102355957031
1.775873889525924e+18,-375.00244140625,-1249.3780517578125,-375.08935546875,-75.04267120361328,-74.9931411743164,-74.9676742553711,-499.9911804199219,-375.364013671875
1.775873889526924e+18,-374.8180847167969,-1250.095458984375,-375.21234130859375,-75.02422332763672,-75.01158905029297,-74.95536804199219,-499.7450866699219,-375.05645751953125
1.7758738895279242e+18,-374.9102783203125,-1251.017822265625,-374.8126220703125,-74.99962615966797,-75.0484848022461,-74.94921112060547,-499.9911804199219,-375.14874267578125
1.7758738895289242e+18,-375.1253662109375,-1249.4805908203125,-375.1816101074219,-75.02422332763672,-74.96238708496094,-74.9922866821289,-500.1552429199219,-374.56439208984375
1.775873889529924e+18,-374.6644592285156,-1249.4805908203125,-374.8741149902344,-74.950439453125,-74.96238708496094,-74.97382354736328,-499.5400390625,-374.7181701660156
1.7758738895309243e+18,-374.94097900390625,-1249.275634765625,-375.0278625488281,-75.04267120361328,-75.03003692626953,-74.96151733398438,-499.9091491699219,-375.364013671875
1.7758738895319242e+18,-375.15606689453125,-1250.3004150390625,-374.7511291503906,-74.96273803710938,-74.98699188232422,-75.0230484008789,-500.44232177734375,-375.05645751953125
1.7758738895329242e+18,-375.3097229003906,-1250.6077880859375,-374.8433837890625,-74.97503662109375,-74.96853637695312,-74.95536804199219,-499.8681335449219,-375.364013671875
1.7758738895339244e+18,-374.6644592285156,-1248.9681396484375,-374.72039794921875,-74.96273803710938,-74.92549133300781,-74.96151733398438,-499.7040710449219,-374.5028991699219
1.7758738895349243e+18,-375.217529296875,-1250.3004150390625,-375.3660888671875,-75.02422332763672,-74.9931411743164,-74.94921112060547,-499.4580078125,-374.6566467285156
1.7758738895359245e+18,-375.0946350097656,-1249.4805908203125,-374.72039794921875,-74.950439453125,-74.95623779296875,-74.9984359741211,-500.1552429199219,-375.333251953125
1.7758738895369244e+18,-374.63372802734375,-1248.9681396484375,-374.7818908691406,-74.96888732910156,-74.92549133300781,-74.96151733398438,-499.7861022949219,-374.59515380859375
1.7758738895379244e+18,-374.9717102050781,-1250.915283203125,-374.8126220703125,-74.99347686767578,-75.05463409423828,-74.94921112060547,-499.9091491699219,-375.17950439453125
1.7758738895389245e+18,-375.27899169921875,-1250.095458984375,-374.8741149902344,-74.97503662109375,-75.06078338623047,-74.97998046875,-499.9091491699219,-375.3025207519531
1.7758738895399245e+18,-375.0331726074219,-1249.275634765625,-374.9971008300781,-75.04882049560547,-74.96853637695312,-74.9676742553711,-500.0732116699219,-375.4562683105469
1.7758738895409244e+18,-375.4326171875,-1250.1978759765625,-374.8126220703125,-74.98118591308594,-75.03618621826172,-75.04766082763672,-499.9091491699219,-374.7796936035156
1.7758738895419246e+18,-374.7566223144531,-1249.7879638671875,-375.3045959472656,-75.01192474365234,-74.96238708496094,-74.9984359741211,-500.44232177734375,-374.9334411621094
1.7758738895429245e+18,-375.4018859863281,-1249.3780517578125,-374.7511291503906,-75.00577545166016,-74.9992904663086,-74.92459869384766,-499.9501647949219,-375.17950439453125
1.7758738895439245e+18,-375.3097229003906,-1249.992919921875,-374.8433837890625,-75.0303726196289,-75.0484848022461,-74.94921112060547,-499.9911804199219,-375.394775390625
1.7758738895449247e+18,-374.9717102050781,-1250.40283203125,-375.1508483886719,-74.96273803710938,-74.96853637695312,-75.0107421875,-500.2372741699219,-374.62591552734375
1.7758738895459246e+18,-375.1867980957031,-1249.173095703125,-375.0278625488281,-75.02422332763672,-74.94393920898438,-74.9984359741211,-500.2372741699219,-374.7181701660156
1.7758738895469245e+18,-375.4018859863281,-1249.275634765625,-374.8126220703125,-75.00577545166016,-75.0423355102539,-74.94921112060547,-499.7861022949219,-375.05645751953125
1.7758738895479247e+18,-374.84881591796875,-1249.5830078125,-375.1200866699219,-75.04882049560547,-74.9992904663086,-74.9676742553711,-499.9911804199219,-375.394775390625
1.7758738895489247e+18,-374.8180847167969,-1249.0706787109375,-375.2738342285156,-74.99962615966797,-74.97468566894531,-75.03535461425781,-500.2782897949219,-374.7181701660156
1.7758738895499249e+18,-374.787353515625,-1248.86572265625,-375.1200866699219,-75.01192474365234,-74.96853637695312,-74.94306182861328,-500.1962585449219,-375.11798095703125
1.7758738895509248e+18,-375.2482604980469,-1250.1978759765625,-374.7818908691406,-74.96888732910156,-75.0423355102539,-75.00459289550781,-499.7861022949219,-374.8719482421875
1.7758738895519247e+18,-374.94097900390625,-1249.0706787109375,-374.8126220703125,-75.00577545166016,-75.06078338623047,-74.9984359741211,-499.6220397949219,-374.8104248046875
1.775873889552925e+18,-375.1253662109375,-1248.86572265625,-375.08935546875,-75.01807403564453,-74.9808349609375,-75.0107421875,-500.2782897949219,-374.7489318847656
1.7758738895539249e+18,-374.9717102050781,-1249.3780517578125,-374.7511291503906,-75.01192474365234,-75.02388763427734,-75.03535461425781,-499.7861022949219,-374.7489318847656
1.7758738895549248e+18,-375.1253662109375,-1249.5830078125,-374.7818908691406,-74.96888732910156,-74.91319274902344,-74.96151733398438,-499.9091491699219,-374.7796936035156
1.775873889555925e+18,-374.6951904296875,-1249.5830078125,-374.7818908691406,-74.9873275756836,-75.02388763427734,-75.04151153564453,-500.4013366699219,-375.2102355957031
1.775873889556925e+18,-374.84881591796875,-1249.685546875,-375.1816101074219,-75.02422332763672,-74.95623779296875,-74.93690490722656,-499.9091491699219,-375.11798095703125
1.7758738895579249e+18,-374.8795471191406,-1249.7879638671875,-375.24310302734375,-75.00577545166016,-74.96238708496094,-74.9984359741211,-500.4013366699219,-374.6874084472656
1.775873889558925e+18,-374.6029968261719,-1249.7879638671875,-375.05859375,-75.05496215820312,-75.02388763427734,-74.97382354736328,-499.7861022949219,-374.8719482421875
1.775873889559925e+18,-374.9717102050781,-1249.275634765625,-375.0278625488281,-75.00577545166016,-74.92549133300781,-75.00459289550781,-500.1552429199219,-374.8411865234375
1.775873889560925e+18,-374.9717102050781,-1250.6077880859375,-375.2738342285156,-75.01192474365234,-74.93778991699219,-74.94306182861328,-499.6630554199219,-374.9027099609375
1.775873889561925e+18,-375.3404541015625,-1250.1978759765625,-374.7818908691406,-74.99347686767578,-74.9931411743164,-74.93690490722656,-500.1142272949219,-375.11798095703125
1.775873889562925e+18,-375.1867980957031,-1249.4805908203125,-374.7511291503906,-75.0365219116211,-74.9992904663086,-74.97382354736328,-500.3193054199219,-375.17950439453125
