time_chanNI9203_1,PT_FU_02,PT_N2_05,PT_GO2_04_1,PT_N2_19,PT_FU_01_1,PT_LO2_05,PT_N2_06,PT_GO2_03_1
1.7758756917399173e+18,-375.0960998535156,-1248.6763916015625,-375.37103271484375,-75.00148010253906,-499.9269104003906,-375.5270080566406,-376.4166259765625,-374.8552551269531
1.7758756917409172e+18,-374.7268371582031,-1249.8046875,-375.1863708496094,-74.9707260131836,-499.72186279296875,-375.55780029296875,-377.46319580078125,-374.79376220703125
1.7758756917419174e+18,-375.1576232910156,-1249.599609375,-374.8478088378906,-75.07530212402344,-499.8858947753906,-374.97314453125,-383.52716064453125,-374.79376220703125
1.7758756917429174e+18,-374.9422302246094,-1250.7279052734375,-374.7247009277344,-74.9399642944336,-500.2960205078125,-375.12701416015625,-370.0755920410156,-375.16278076171875
1.7758756917439173e+18,-375.31146240234375,-1248.984130859375,-374.90936279296875,-75.03224182128906,-499.80389404296875,-374.4808349609375,-374.3850402832031,-375.2857971191406
1.7758756917449172e+18,-375.0037841796875,-1251.4459228515625,-374.7247009277344,-74.98302459716797,-500.2960205078125,-374.72698974609375,-361.57989501953125,-375.3780212402344
1.7758756917459174e+18,-375.1576232910156,-1250.83056640625,-375.3402404785156,-75.04454040527344,-500.6651611328125,-375.55780029296875,-380.87994384765625,-375.4087829589844
1.7758756917469174e+18,-374.7268371582031,-1250.215087890625,-375.15557861328125,-74.97687530517578,-500.3780517578125,-375.09625244140625,-366.9974365234375,-375.13201904296875
1.7758756917479173e+18,-374.7575988769531,-1249.9073486328125,-375.1863708496094,-74.99533081054688,-500.1730041503906,-375.3731689453125,-367.6130676269531,-375.0397644042969
1.7758756917489172e+18,-375.0653076171875,-1250.7279052734375,-374.90936279296875,-75.00148010253906,-500.5421142578125,-374.8500671386719,-371.5838928222656,-375.53179931640625
1.7758756917499174e+18,-374.9729919433594,-1251.1383056640625,-375.12481689453125,-74.9522705078125,-500.0089416503906,-375.3731689453125,-365.1197509765625,-374.978271484375
1.7758756917509174e+18,-375.1883850097656,-1249.1893310546875,-374.6323547363281,-75.06914520263672,-500.0909729003906,-374.7885437011719,-375.2776794433594,-375.3780212402344
