time_chanNI9203_2,PT_N2_12_2,PT_N2_08,PT_LO2_07,PT_N2_15,PT_N2_16,PT_N2_17,PT_FU_01_2,PT_GO2_05
1.7758756917399634e+18,-374.84881591796875,-1250.3004150390625,-374.8741149902344,-74.98118591308594,-75.05463409423828,-74.9676742553711,-499.9091491699219,-375.394775390625
1.7758756917409633e+18,-375.0331726074219,-1250.915283203125,-374.68963623046875,-74.98118591308594,-75.02388763427734,-74.96151733398438,-499.4990234375,-375.17950439453125
1.7758756917419633e+18,-374.63372802734375,-1249.7879638671875,-375.08935546875,-74.97503662109375,-74.9931411743164,-75.04766082763672,-499.7861022949219,-374.9642028808594
1.7758756917429632e+18,-375.4326171875,-1249.4805908203125,-374.8433837890625,-75.00577545166016,-74.98699188232422,-74.92459869384766,-500.1142272949219,-375.11798095703125
1.7758756917439634e+18,-374.8180847167969,-1249.8905029296875,-375.3660888671875,-74.99347686767578,-74.95623779296875,-75.00459289550781,-500.4013366699219,-374.7796936035156
1.7758756917449633e+18,-375.37115478515625,-1249.3780517578125,-375.0278625488281,-75.04882049560547,-74.95008850097656,-74.97998046875,-500.1962585449219,-374.8104248046875
1.7758756917459633e+18,-374.8180847167969,-1249.992919921875,-374.9971008300781,-75.00577545166016,-75.00543975830078,-75.04151153564453,-500.4013366699219,-375.17950439453125
1.7758756917469632e+18,-375.00244140625,-1249.5830078125,-374.68963623046875,-75.0365219116211,-74.9992904663086,-74.98612976074219,-500.4013366699219,-374.9949645996094
1.7758756917479634e+18,-374.9717102050781,-1249.8905029296875,-374.597412109375,-75.02422332763672,-75.00543975830078,-74.9676742553711,-500.44232177734375,-374.9027099609375
1.7758756917489633e+18,-375.06390380859375,-1248.76318359375,-375.0278625488281,-75.01192474365234,-74.97468566894531,-74.98612976074219,-500.4013366699219,-374.9027099609375
1.7758756917499633e+18,-375.3097229003906,-1249.7879638671875,-374.8126220703125,-75.02422332763672,-75.03618621826172,-74.96151733398438,-499.9911804199219,-375.2717590332031
1.7758756917509632e+18,-374.8180847167969,-1249.5830078125,-375.1200866699219,-74.97503662109375,-74.92549133300781,-75.0230484008789,-500.1552429199219,-374.8104248046875
1.7758756917519634e+18,-374.84881591796875,-1249.4805908203125,-375.1200866699219,-74.96888732910156,-74.931640625,-75.02920532226562,-499.9911804199219,-374.8411865234375
1.7758756917529633e+18,-374.7566223144531,-1249.685546875,-375.05859375,-74.99962615966797,-75.01158905029297,-75.0230484008789,-500.4013366699219,-375.333251953125
1.7758756917539633e+18,-374.572265625,-1250.40283203125,-374.9971008300781,-74.9873275756836,-75.06078338623047,-74.9676742553711,-499.7450866699219,-375.17950439453125
1.7758756917549632e+18,-374.9717102050781,-1250.915283203125,-374.72039794921875,-74.96888732910156,-75.01773834228516,-74.97998046875,-499.7450866699219,-375.364013671875
1.7758756917559634e+18,-374.8180847167969,-1249.5830078125,-375.3353271484375,-74.98118591308594,-74.98699188232422,-75.05381774902344,-499.7450866699219,-374.8104248046875
1.7758756917569633e+18,-374.6029968261719,-1249.992919921875,-375.1508483886719,-74.98118591308594,-74.9931411743164,-75.04151153564453,-499.6630554199219,-374.9949645996094
1.7758756917579633e+18,-375.27899169921875,-1250.40283203125,-374.7511291503906,-74.99962615966797,-75.00543975830078,-74.93690490722656,-500.0732116699219,-375.05645751953125
1.7758756917589632e+18,-375.1867980957031,-1249.3780517578125,-374.72039794921875,-75.0365219116211,-75.01158905029297,-74.9676742553711,-500.2372741699219,-375.2717590332031
1.7758756917599634e+18,-375.1253662109375,-1249.992919921875,-375.1200866699219,-75.01192474365234,-75.05463409423828,-75.03535461425781,-500.1552429199219,-375.425537109375
1.7758756917609633e+18,-374.6029968261719,-1249.8905029296875,-375.1508483886719,-74.97503662109375,-74.96853637695312,-75.04766082763672,-499.7450866699219,-374.9334411621094
1.7758756917619633e+18,-375.06390380859375,-1249.4805908203125,-375.1200866699219,-74.97503662109375,-74.96238708496094,-75.04766082763672,-499.7861022949219,-374.9642028808594
1.7758756917629632e+18,-374.6029968261719,-1250.095458984375,-375.05859375,-74.98118591308594,-75.03003692626953,-75.04151153564453,-499.7040710449219,-374.9642028808594
1.7758756917639634e+18,-375.15606689453125,-1249.7879638671875,-374.9971008300781,-75.0365219116211,-74.96853637695312,-74.9922866821289,-500.4013366699219,-374.62591552734375
1.7758756917649633e+18,-375.06390380859375,-1249.275634765625,-374.566650390625,-74.99962615966797,-75.01158905029297,-75.05996704101562,-499.8681335449219,-374.7181701660156
1.7758756917659633e+18,-374.9717102050781,-1250.3004150390625,-375.3353271484375,-75.04882049560547,-75.02388763427734,-75.0107421875,-499.9911804199219,-374.9027099609375
1.7758756917669632e+18,-375.1253662109375,-1250.6077880859375,-375.08935546875,-75.04882049560547,-75.05463409423828,-75.01689910888672,-499.9501647949219,-374.9027099609375
1.7758756917679634e+18,-375.0331726074219,-1251.017822265625,-375.21234130859375,-74.97503662109375,-74.97468566894531,-74.9922866821289,-500.3603210449219,-375.11798095703125
1.7758756917689633e+18,-374.8180847167969,-1249.5830078125,-375.3045959472656,-74.97503662109375,-74.9931411743164,-75.05996704101562,-499.6630554199219,-374.8104248046875
1.7758756917699633e+18,-375.00244140625,-1249.3780517578125,-375.05859375,-74.97503662109375,-74.96238708496094,-75.05381774902344,-499.9091491699219,-374.9334411621094
1.7758756917709632e+18,-374.6951904296875,-1250.6077880859375,-375.0278625488281,-74.97503662109375,-75.03618621826172,-75.02920532226562,-499.6220397949219,-374.9949645996094
1.7758756917719634e+18,-374.94097900390625,-1250.1978759765625,-374.8741149902344,-74.96273803710938,-75.0484848022461,-74.98612976074219,-499.8271179199219,-375.3025207519531
1.7758756917729633e+18,-374.8180847167969,-1250.40283203125,-375.1508483886719,-74.97503662109375,-74.9931411743164,-75.01689910888672,-499.4990234375,-374.9949645996094
1.7758756917739633e+18,-374.7566223144531,-1249.992919921875,-375.3660888671875,-74.99962615966797,-74.95623779296875,-75.00459289550781,-500.4013366699219,-375.364013671875
