time_chanNI9205_2,PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2
1.7758756917396672e+18,-314.6612243652344,-294.422607421875,-307.3017272949219,-319.2608947753906,-288.9029846191406,-317.6510009765625,-288.4430236816406,-299.2522888183594,108.25556945800781,43.30222702026367,43.30222702026367,-299.5335388183594
1.7758756917406671e+18,-298.56231689453125,-322.7106628417969,-295.112548828125,-317.8810119628906,-284.7632751464844,-300.8621520996094,-282.2334289550781,-299.02227783203125,108.25556945800781,43.30222702026367,43.30222702026367,-298.7326965332031
1.775875691741667e+18,-299.02227783203125,-293.5026550292969,-281.0835266113281,-305.46185302734375,-267.74444580078125,-293.732666015625,-275.79388427734375,-296.7224426269531,108.25556945800781,43.30222702026367,43.30222702026367,-299.65673828125
1.775875691742667e+18,-281.5434875488281,-299.4822692871094,-270.2742614746094,-303.8519592285156,-262.6847839355469,-288.6730041503906,-262.2248229980469,-282.92340087890625,108.25556945800781,43.30222702026367,43.30222702026367,-298.1474609375
1.775875691743667e+18,-315.1211853027344,-282.46343994140625,-313.74127197265625,-287.5230712890625,-301.7821044921875,-280.16357421875,-289.3629455566406,-287.2930908203125,108.25556945800781,43.30222702026367,43.30222702026367,-299.3641357421875
1.775875691744667e+18,-299.2522888183594,-270.9642028808594,-287.7530517578125,-286.3731689453125,-271.6541748046875,-283.61334228515625,-252.10549926757812,-291.8927917480469,108.25556945800781,43.30222702026367,43.30222702026367,-299.41033935546875
1.7758756917456668e+18,-279.70361328125,-291.43280029296875,-300.1722106933594,-273.0340576171875,-267.5144348144531,-296.2624816894531,-269.12432861328125,-276.48382568359375,108.25556945800781,43.30222702026367,43.30222702026367,-299.3025207519531
1.7758756917466668e+18,-269.35430908203125,-287.7530517578125,-287.9830322265625,-282.46343994140625,-287.7530517578125,-266.8244934082031,-285.6831970214844,-278.5536804199219,108.25556945800781,43.30222702026367,43.30222702026367,-300.781005859375
1.7758756917476667e+18,-267.74444580078125,-298.33233642578125,-278.5536804199219,-296.0325012207031,-287.2930908203125,-278.0937194824219,-289.5929260253906,-276.48382568359375,108.25556945800781,43.30222702026367,43.30222702026367,-301.41241455078125
1.7758756917486666e+18,-313.74127197265625,-290.51287841796875,-288.4430236816406,-309.6015625,-270.0442810058594,-305.46185302734375,-269.5843200683594,-292.1227722167969,108.25556945800781,43.30222702026367,43.30222702026367,-298.9637145996094
1.7758756917496666e+18,-313.97125244140625,-287.7530517578125,-304.0819396972656,-301.7821044921875,-292.8127136230469,-302.2420654296875,-276.02386474609375,-309.37158203125,108.25556945800781,43.30222702026367,43.30222702026367,-299.90313720703125
1.7758756917506665e+18,-295.112548828125,-315.3511657714844,-307.0717468261719,-314.8912048339844,-312.82135009765625,-304.77191162109375,-320.18084716796875,-302.7020263671875,108.25556945800781,43.30222702026367,43.30222702026367,-300.3189697265625
1.7758756917516664e+18,-327.0803527832031,-309.6015625,-330.9901123046875,-310.5215148925781,-329.6101989746094,-309.37158203125,-318.5709533691406,-310.5215148925781,108.25556945800781,43.30222702026367,43.30222702026367,-300.9195861816406
1.7758756917526664e+18,-315.3511657714844,-289.8229064941406,-308.2216491699219,-327.77032470703125,-293.962646484375,-330.7601013183594,-305.46185302734375,-297.41241455078125,108.25556945800781,43.30222702026367,43.30222702026367,-301.5356140136719
1.7758756917536663e+18,-287.2930908203125,-320.87078857421875,-285.6831970214844,-325.240478515625,-289.3629455566406,-313.97125244140625,-298.79229736328125,-320.18084716796875,108.25556945800781,43.30222702026367,43.30222702026367,-300.8887939453125
1.7758756917546662e+18,-335.12982177734375,-305.92181396484375,-310.9814758300781,-316.0411376953125,-281.0835266113281,-310.0615234375,-282.69342041015625,-306.61175537109375,108.25556945800781,43.30222702026367,43.30222702026367,-300.2265625
1.7758756917556662e+18,-335.35980224609375,-307.0717468261719,-315.5811462402344,-307.9916687011719,-283.61334228515625,-305.46185302734375,-271.1941833496094,-312.1313781738281,108.25556945800781,43.30222702026367,43.30222702026367,-299.31793212890625
1.775875691756666e+18,-288.2130432128906,-319.95086669921875,-296.2624816894531,-311.2114562988281,-305.69183349609375,-295.5725402832031,-308.91162109375,-298.56231689453125,108.25556945800781,43.30222702026367,43.30222702026367,-300.411376953125
1.775875691757666e+18,-299.7122497558594,-300.1722106933594,-291.8927917480469,-304.5419006347656,-278.3236999511719,-297.1824035644531,-264.984619140625,-303.3919982910156,108.25556945800781,43.30222702026367,43.30222702026367,-300.3189697265625
1.775875691758666e+18,-285.4532165527344,-314.6612243652344,-290.28289794921875,-300.8621520996094,-286.1431579589844,-280.3935546875,-285.6831970214844,-269.12432861328125,108.25556945800781,43.30222702026367,43.30222702026367,-298.6094970703125
1.775875691759666e+18,-300.6321716308594,-267.5144348144531,-296.0325012207031,-268.89434814453125,-288.4430236816406,-278.0937194824219,-271.8841552734375,-304.5419006347656,108.25556945800781,43.30222702026367,43.30222702026367,-298.5478820800781
1.7758756917606659e+18,-273.9540100097656,-296.4924621582031,-267.74444580078125,-306.15179443359375,-256.2452087402344,-294.192626953125,-251.18556213378906,-291.66278076171875,108.25556945800781,43.30222702026367,43.30222702026367,-299.1177062988281
1.7758756917616658e+18,-291.66278076171875,-269.5843200683594,-288.2130432128906,-285.4532165527344,-268.89434814453125,-287.7530517578125,-253.25543212890625,-291.20281982421875,108.25556945800781,43.30222702026367,43.30222702026367,-299.6259460449219
1.7758756917626657e+18,-270.5042419433594,-300.1722106933594,-270.0442810058594,-301.3221435546875,-284.7632751464844,-285.4532165527344,-290.28289794921875,-282.0034484863281,108.25556945800781,43.30222702026367,43.30222702026367,-299.6413269042969
1.7758756917636654e+18,-281.5434875488281,-311.9013977050781,-283.84332275390625,-302.7020263671875,-284.5332946777344,-282.2334289550781,-281.5434875488281,-273.2640686035156,108.25556945800781,43.30222702026367,43.30222702026367,-297.80865478515625
1.7758756917646653e+18,-285.9131774902344,-300.4021911621094,-277.4037780761719,-308.91162109375,-271.8841552734375,-300.4021911621094,-263.6047058105469,-300.4021911621094,108.25556945800781,43.30222702026367,43.30222702026367,-299.4411315917969
1.7758756917656653e+18,-305.92181396484375,-281.0835266113281,-303.1620178222656,-294.882568359375,-298.10235595703125,-300.1722106933594,-285.6831970214844,-308.91162109375,108.25556945800781,43.30222702026367,43.30222702026367,-301.2584228515625
1.7758756917666652e+18,-306.15179443359375,-307.3017272949219,-302.7020263671875,-315.5811462402344,-298.56231689453125,-311.4414367675781,-291.8927917480469,-311.2114562988281,108.25556945800781,43.30222702026367,43.30222702026367,-300.8887939453125
1.7758756917676652e+18,-308.681640625,-319.72088623046875,-289.3629455566406,-327.0803527832031,-307.0717468261719,-285.2232360839844,-305.92181396484375,-299.2522888183594,108.25556945800781,43.30222702026367,43.30222702026367,-300.611572265625
1.775875691768665e+18,-286.3731689453125,-319.4908752441406,-290.51287841796875,-313.74127197265625,-302.7020263671875,-298.56231689453125,-309.6015625,-295.8025207519531,108.25556945800781,43.30222702026367,43.30222702026367,-301.181396484375
1.775875691769665e+18,-310.0615234375,-311.2114562988281,-290.74285888671875,-320.18084716796875,-287.0631103515625,-318.3409729003906,-292.5827331542969,-317.6510009765625,108.25556945800781,43.30222702026367,43.30222702026367,-300.5191650390625
1.775875691770665e+18,-298.10235595703125,-325.240478515625,-303.1620178222656,-317.1910400390625,-319.0309143066406,-309.1416015625,-326.1604309082031,-310.9814758300781,108.25556945800781,43.30222702026367,43.30222702026367,-301.21221923828125
1.775875691771665e+18,-310.0615234375,-307.9916687011719,-311.6714172363281,-290.74285888671875,-307.9916687011719,-286.6031494140625,-303.1620178222656,-301.3221435546875,108.25556945800781,43.30222702026367,43.30222702026367,-301.0736083984375
