time_chanNI9203_1,PT_FU_02,PT_N2_05,PT_GO2_04_1,PT_N2_19,PT_FU_01_1,PT_LO2_05,PT_N2_06,PT_GO2_03_1
1.7758752980638065e+18,-375.0960998535156,-1251.3433837890625,-375.12481689453125,-74.95841979980469,-500.1730041503906,-375.55780029296875,-372.4765625,-374.82452392578125
1.7758752980648064e+18,-374.84991455078125,-1250.317626953125,-375.4325866699219,-75.00763702392578,-499.80389404296875,-374.9423828125,-382.5421447753906,-375.19354248046875
1.7758752980658063e+18,-374.81915283203125,-1250.215087890625,-375.40179443359375,-75.07530212402344,-500.2550354003906,-374.97314453125,-373.584716796875,-374.7322692871094
1.7758752980668063e+18,-375.3422546386719,-1249.599609375,-374.8170166015625,-75.01378631591797,-500.1319885253906,-374.4808349609375,-374.7851867675781,-375.16278076171875
1.7758752980678062e+18,-375.31146240234375,-1249.9073486328125,-374.9709167480469,-75.08145141601562,-499.9269104003906,-374.7577819824219,-379.0638427734375,-374.82452392578125
1.7758752980688061e+18,-374.8807067871094,-1250.83056640625,-374.8785705566406,-74.9645767211914,-500.5831298828125,-375.0346984863281,-368.6904296875,-375.4087829589844
1.775875298069806e+18,-374.7575988769531,-1249.3944091796875,-374.7862548828125,-74.97687530517578,-499.43475341796875,-374.72698974609375,-369.0906066894531,-374.82452392578125
1.775875298070806e+18,-375.1883850097656,-1249.4969482421875,-374.8170166015625,-75.07530212402344,-500.0089416503906,-374.8193054199219,-380.6336975097656,-375.3165283203125
1.7758752980718057e+18,-374.84991455078125,-1250.420166015625,-374.8170166015625,-74.9707260131836,-500.5010986328125,-374.7577819824219,-373.8617248535156,-375.50103759765625
1.7758752980728056e+18,-375.28070068359375,-1249.8046875,-375.032470703125,-75.07530212402344,-499.59881591796875,-375.0039367675781,-381.0030822753906,-374.8860168457031
1.7758752980738056e+18,-375.0653076171875,-1249.599609375,-375.3094787597656,-75.05684661865234,-499.76287841796875,-375.0654602050781,-383.52716064453125,-374.6400146484375
1.7758752980748055e+18,-374.9422302246094,-1251.4459228515625,-374.8170166015625,-74.97687530517578,-500.2550354003906,-374.69622802734375,-362.93426513671875,-375.4395446777344
1.7758752980758054e+18,-375.24993896484375,-1250.420166015625,-374.7554626464844,-75.00763702392578,-499.9269104003906,-374.4500732421875,-375.0622253417969,-375.2242736816406
1.7758752980768054e+18,-375.1268615722656,-1250.83056640625,-375.37103271484375,-75.03839111328125,-500.6241455078125,-375.55780029296875,-381.7726135253906,-375.50103759765625
1.7758752980778053e+18,-375.31146240234375,-1251.1383056640625,-374.7554626464844,-75.01378631591797,-500.5831298828125,-374.880859375,-367.8901062011719,-375.2550354003906
1.7758752980788052e+18,-374.9114685058594,-1250.1124267578125,-375.40179443359375,-74.9338150024414,-500.0909729003906,-375.3116149902344,-370.2295227050781,-374.8860168457031
1.7758752980798052e+18,-375.0037841796875,-1251.03564453125,-374.57080078125,-75.01378631591797,-500.2960205078125,-374.8193054199219,-378.2019348144531,-375.2550354003906
1.775875298080805e+18,-375.1883850097656,-1249.3944091796875,-374.7862548828125,-75.06299591064453,-500.1730041503906,-374.8193054199219,-369.6138916015625,-375.47027587890625
1.775875298081805e+18,-374.9422302246094,-1250.7279052734375,-375.40179443359375,-75.02608489990234,-499.76287841796875,-374.3885192871094,-369.70623779296875,-375.16278076171875
1.775875298082805e+18,-375.1883850097656,-1249.1893310546875,-374.6323547363281,-75.02608489990234,-500.2960205078125,-374.880859375,-362.995849609375,-375.4395446777344
1.775875298083805e+18,-374.84991455078125,-1250.1124267578125,-374.90936279296875,-74.94612121582031,-499.80389404296875,-374.7577819824219,-364.0116271972656,-374.6400146484375
1.7758752980848049e+18,-375.21917724609375,-1251.4459228515625,-375.032470703125,-74.97687530517578,-499.80389404296875,-375.4039306640625,-381.156982421875,-374.8860168457031
