time_chanNI9203_2,PT_N2_12_2,PT_N2_08,PT_LO2_07,PT_N2_15,PT_N2_16,PT_N2_17,PT_FU_01_2,PT_GO2_05
1.7758752980638405e+18,-375.3097229003906,-1249.992919921875,-374.8126220703125,-75.01807403564453,-75.05463409423828,-74.97382354736328,-499.9911804199219,-375.425537109375
1.7758752980648404e+18,-375.00244140625,-1250.6077880859375,-374.93560791015625,-74.94429016113281,-74.96853637695312,-75.0107421875,-500.3603210449219,-374.62591552734375
1.7758752980658406e+18,-374.6644592285156,-1249.7879638671875,-375.08935546875,-75.05496215820312,-75.0484848022461,-74.9984359741211,-499.5810546875,-374.56439208984375
1.7758752980668406e+18,-374.9102783203125,-1249.5830078125,-375.3353271484375,-75.00577545166016,-74.96238708496094,-75.00459289550781,-499.8271179199219,-374.56439208984375
1.7758752980678405e+18,-374.8795471191406,-1249.4805908203125,-375.3045959472656,-74.98118591308594,-74.9931411743164,-75.04766082763672,-499.4990234375,-375.05645751953125
1.7758752980688407e+18,-375.3097229003906,-1249.0706787109375,-374.93560791015625,-75.01807403564453,-74.97468566894531,-74.96151733398438,-500.3193054199219,-374.9949645996094
1.7758752980698406e+18,-375.06390380859375,-1249.8905029296875,-374.93560791015625,-74.97503662109375,-74.93778991699219,-74.93075561523438,-499.6220397949219,-374.7796936035156
1.7758752980708406e+18,-374.63372802734375,-1249.685546875,-375.1200866699219,-74.97503662109375,-74.95008850097656,-75.03535461425781,-499.9911804199219,-374.7796936035156
1.7758752980718408e+18,-375.37115478515625,-1249.0706787109375,-375.0278625488281,-75.01192474365234,-74.96238708496094,-75.01689910888672,-500.1552429199219,-374.6874084472656
1.7758752980728407e+18,-374.84881591796875,-1250.3004150390625,-375.2738342285156,-74.97503662109375,-74.9992904663086,-75.02920532226562,-499.4990234375,-374.9949645996094
1.7758752980738406e+18,-374.6029968261719,-1250.6077880859375,-375.0278625488281,-74.96888732910156,-75.03618621826172,-75.01689910888672,-499.6630554199219,-374.9642028808594
1.7758752980748408e+18,-375.3404541015625,-1249.4805908203125,-374.93560791015625,-75.04267120361328,-74.95623779296875,-74.97382354736328,-500.1962585449219,-374.8411865234375
1.7758752980758408e+18,-374.9717102050781,-1249.5830078125,-375.3045959472656,-74.99962615966797,-74.96238708496094,-74.9984359741211,-500.1142272949219,-374.56439208984375
1.775875298076841e+18,-374.84881591796875,-1249.992919921875,-374.9048767089844,-74.99347686767578,-75.02388763427734,-75.0230484008789,-500.2782897949219,-375.11798095703125
1.775875298077841e+18,-375.1253662109375,-1249.5830078125,-374.96636962890625,-75.0365219116211,-74.97468566894531,-74.9984359741211,-500.4013366699219,-374.9027099609375
1.7758752980788408e+18,-375.1253662109375,-1250.6077880859375,-374.7511291503906,-74.99962615966797,-75.01158905029297,-74.93690490722656,-499.9911804199219,-375.14874267578125
1.775875298079841e+18,-375.15606689453125,-1249.3780517578125,-374.96636962890625,-74.97503662109375,-74.93778991699219,-75.04766082763672,-499.9911804199219,-374.8411865234375
1.775875298080841e+18,-374.6951904296875,-1249.5830078125,-375.1200866699219,-74.98118591308594,-74.931640625,-74.9984359741211,-500.2372741699219,-374.7181701660156
1.775875298081841e+18,-374.9102783203125,-1250.3004150390625,-375.3045959472656,-74.9873275756836,-74.95623779296875,-74.9676742553711,-500.0321960449219,-375.2409973144531
1.775875298082841e+18,-375.00244140625,-1249.173095703125,-374.9971008300781,-75.01807403564453,-74.95008850097656,-74.97998046875,-500.1552429199219,-374.7796936035156
1.775875298083841e+18,-375.1867980957031,-1251.017822265625,-375.3045959472656,-75.01192474365234,-75.02388763427734,-75.0230484008789,-499.9501647949219,-375.0257263183594
1.775875298084841e+18,-375.1253662109375,-1250.095458984375,-374.6281433105469,-74.96888732910156,-74.9992904663086,-75.05996704101562,-500.2372741699219,-374.8104248046875
1.7758752980858412e+18,-374.787353515625,-1249.4805908203125,-374.597412109375,-74.98118591308594,-75.01158905029297,-75.01689910888672,-500.2782897949219,-375.17950439453125
1.775875298086841e+18,-374.787353515625,-1250.6077880859375,-375.08935546875,-74.96273803710938,-74.9992904663086,-75.01689910888672,-499.4990234375,-374.9949645996094
1.775875298087841e+18,-374.6951904296875,-1249.7879638671875,-375.1508483886719,-74.97503662109375,-74.98699188232422,-75.04766082763672,-499.7450866699219,-374.9949645996094
1.775875298088841e+18,-374.8795471191406,-1251.017822265625,-374.8741149902344,-74.99347686767578,-75.06078338623047,-74.94921112060547,-499.8271179199219,-375.17950439453125
1.7758752980898412e+18,-375.0946350097656,-1249.3780517578125,-374.96636962890625,-75.0365219116211,-74.95008850097656,-74.97382354736328,-500.2372741699219,-374.7796936035156
1.775875298090841e+18,-374.7259216308594,-1248.76318359375,-374.8433837890625,-75.01192474365234,-75.02388763427734,-75.04151153564453,-500.2372741699219,-375.14874267578125
1.775875298091841e+18,-375.00244140625,-1249.3780517578125,-374.9971008300781,-75.0303726196289,-74.94393920898438,-74.97998046875,-500.1962585449219,-374.7489318847656
1.7758752980928412e+18,-374.7259216308594,-1249.685546875,-375.1816101074219,-74.99347686767578,-74.97468566894531,-75.04766082763672,-499.8271179199219,-374.9949645996094
1.7758752980938412e+18,-374.6951904296875,-1249.5830078125,-375.08935546875,-74.98118591308594,-74.931640625,-75.03535461425781,-500.0732116699219,-374.8104248046875
1.775875298094841e+18,-374.7259216308594,-1249.3780517578125,-374.9971008300781,-74.99347686767578,-74.931640625,-74.98612976074219,-500.1552429199219,-374.8411865234375
1.7758752980958413e+18,-375.1867980957031,-1250.6077880859375,-374.72039794921875,-74.99962615966797,-75.05463409423828,-74.96151733398438,-499.8271179199219,-375.14874267578125
1.7758752980968412e+18,-374.63372802734375,-1250.812744140625,-374.96636962890625,-74.98118591308594,-75.06078338623047,-74.9676742553711,-499.8271179199219,-375.2102355957031
1.7758752980978412e+18,-375.37115478515625,-1251.017822265625,-375.05859375,-74.97503662109375,-74.94393920898438,-74.95536804199219,-499.7450866699219,-374.7181701660156
1.7758752980988413e+18,-375.217529296875,-1250.812744140625,-374.7818908691406,-74.9873275756836,-75.0423355102539,-75.0230484008789,-499.6630554199219,-374.9642028808594
1.7758752980998413e+18,-374.9717102050781,-1249.3780517578125,-375.1200866699219,-74.97503662109375,-74.95623779296875,-75.04766082763672,-499.7040710449219,-374.9949645996094
1.7758752981008412e+18,-374.9717102050781,-1250.6077880859375,-374.6281433105469,-74.9873275756836,-75.02388763427734,-74.9676742553711,-499.7450866699219,-375.333251953125
1.7758752981018414e+18,-374.8795471191406,-1250.915283203125,-374.8741149902344,-74.9873275756836,-75.0484848022461,-75.00459289550781,-499.7040710449219,-375.0257263183594
1.7758752981028413e+18,-375.1253662109375,-1249.3780517578125,-374.68963623046875,-75.0365219116211,-74.9931411743164,-74.97382354736328,-500.3603210449219,-375.0257263183594
1.7758752981038413e+18,-374.8795471191406,-1251.017822265625,-375.0278625488281,-74.97503662109375,-75.02388763427734,-75.04151153564453,-499.7450866699219,-374.9334411621094
1.7758752981048412e+18,-374.8795471191406,-1249.685546875,-375.1816101074219,-75.02422332763672,-75.06693267822266,-75.03535461425781,-499.9911804199219,-374.62591552734375
1.7758752981058414e+18,-374.8795471191406,-1249.8905029296875,-375.08935546875,-74.97503662109375,-74.98699188232422,-74.9984359741211,-500.0321960449219,-375.17950439453125
1.7758752981068413e+18,-375.1867980957031,-1249.5830078125,-375.1816101074219,-75.01192474365234,-74.96238708496094,-75.0107421875,-499.7040710449219,-374.6566467285156
1.7758752981078413e+18,-374.6029968261719,-1250.40283203125,-375.08935546875,-74.97503662109375,-75.02388763427734,-75.00459289550781,-499.7040710449219,-374.9642028808594
1.7758752981088415e+18,-375.37115478515625,-1249.685546875,-374.93560791015625,-75.04882049560547,-74.98699188232422,-74.9676742553711,-500.0321960449219,-374.8104248046875
1.7758752981098414e+18,-374.9717102050781,-1250.915283203125,-374.93560791015625,-74.96888732910156,-74.9992904663086,-74.9922866821289,-499.4580078125,-374.9027099609375
1.7758752981108413e+18,-375.1253662109375,-1249.5830078125,-374.9048767089844,-75.04882049560547,-74.9808349609375,-74.98612976074219,-500.4013366699219,-375.08721923828125
1.7758752981118415e+18,-375.3404541015625,-1250.812744140625,-375.1508483886719,-75.04882049560547,-75.0484848022461,-75.01689910888672,-500.4013366699219,-375.364013671875
1.7758752981128415e+18,-375.0946350097656,-1250.50537109375,-375.1200866699219,-74.96888732910156,-74.95623779296875,-74.9922866821289,-500.3193054199219,-375.364013671875
1.7758752981138414e+18,-374.787353515625,-1249.685546875,-375.1200866699219,-74.9873275756836,-75.01158905029297,-75.04151153564453,-499.6630554199219,-374.8719482421875
1.7758752981148416e+18,-375.0946350097656,-1251.017822265625,-375.3045959472656,-74.99347686767578,-74.96853637695312,-74.92459869384766,-499.8271179199219,-375.11798095703125
1.7758752981158415e+18,-375.37115478515625,-1251.017822265625,-375.08935546875,-75.01807403564453,-74.9992904663086,-74.98612976074219,-499.5810546875,-374.6566467285156
1.7758752981168415e+18,-374.8795471191406,-1249.685546875,-375.3353271484375,-74.9873275756836,-74.97468566894531,-75.0230484008789,-499.7450866699219,-374.59515380859375
1.7758752981178417e+18,-374.8180847167969,-1250.50537109375,-375.08935546875,-74.97503662109375,-74.9992904663086,-74.97998046875,-499.4990234375,-375.2717590332031
1.7758752981188416e+18,-374.84881591796875,-1249.3780517578125,-375.0278625488281,-75.00577545166016,-75.06078338623047,-75.03535461425781,-499.9911804199219,-374.6874084472656
1.7758752981198415e+18,-375.4018859863281,-1250.7103271484375,-374.9971008300781,-74.96273803710938,-74.931640625,-74.9676742553711,-499.9911804199219,-375.2409973144531
1.7758752981208415e+18,-374.6951904296875,-1250.095458984375,-375.3660888671875,-75.0365219116211,-74.9992904663086,-74.9676742553711,-499.7040710449219,-375.05645751953125
1.7758752981218417e+18,-374.8180847167969,-1249.5830078125,-375.1508483886719,-75.04267120361328,-74.98699188232422,-74.9676742553711,-500.1552429199219,-375.364013671875
1.7758752981228416e+18,-374.94097900390625,-1250.40283203125,-374.566650390625,-75.01192474365234,-75.00543975830078,-74.97382354736328,-500.3603210449219,-374.7489318847656
1.7758752981238415e+18,-374.9102783203125,-1251.017822265625,-374.8433837890625,-74.98118591308594,-75.02388763427734,-74.97382354736328,-499.7861022949219,-375.364013671875
1.7758752981248417e+18,-375.4326171875,-1249.275634765625,-374.8126220703125,-75.01807403564453,-74.98699188232422,-74.97382354736328,-500.44232177734375,-374.9949645996094
1.7758752981258417e+18,-375.06390380859375,-1251.017822265625,-375.24310302734375,-74.98118591308594,-74.97468566894531,-74.93075561523438,-499.9501647949219,-375.11798095703125
1.7758752981268416e+18,-374.84881591796875,-1248.9681396484375,-374.8126220703125,-75.00577545166016,-75.0484848022461,-75.04151153564453,-500.1552429199219,-374.8411865234375
1.7758752981278418e+18,-374.8180847167969,-1250.7103271484375,-374.9971008300781,-74.96273803710938,-74.9992904663086,-75.0107421875,-499.4580078125,-375.0257263183594
1.7758752981288417e+18,-374.94097900390625,-1250.40283203125,-374.93560791015625,-74.99962615966797,-75.05463409423828,-74.97998046875,-499.9091491699219,-375.425537109375
1.7758752981298417e+18,-375.2482604980469,-1249.3780517578125,-374.9971008300781,-75.0365219116211,-74.9992904663086,-74.96151733398438,-499.9911804199219,-375.4562683105469
1.7758752981308419e+18,-375.1867980957031,-1249.5830078125,-374.68963623046875,-74.96273803710938,-74.9992904663086,-75.04766082763672,-500.4013366699219,-374.8104248046875
1.7758752981318418e+18,-374.787353515625,-1250.3004150390625,-374.8126220703125,-74.96273803710938,-75.06078338623047,-74.98612976074219,-499.8681335449219,-375.425537109375
1.7758752981328417e+18,-374.7259216308594,-1248.76318359375,-374.8433837890625,-75.01807403564453,-75.06693267822266,-74.9922866821289,-499.7040710449219,-374.8719482421875
1.775875298133842e+18,-375.3404541015625,-1250.40283203125,-375.3045959472656,-75.02422332763672,-74.9992904663086,-74.97382354736328,-499.7861022949219,-374.7796936035156
1.7758752981348419e+18,-375.1867980957031,-1249.5830078125,-374.8741149902344,-75.04267120361328,-74.96238708496094,-74.98612976074219,-500.2372741699219,-374.56439208984375
1.7758752981358418e+18,-374.8795471191406,-1248.9681396484375,-375.08935546875,-75.01192474365234,-74.97468566894531,-74.97998046875,-500.4013366699219,-374.8411865234375
1.7758752981368417e+18,-374.9102783203125,-1251.017822265625,-375.21234130859375,-74.97503662109375,-74.98699188232422,-75.05996704101562,-500.0732116699219,-374.6874084472656
1.775875298137842e+18,-375.0331726074219,-1249.7879638671875,-374.597412109375,-75.02422332763672,-75.01158905029297,-74.97382354736328,-500.3193054199219,-375.14874267578125
1.7758752981388419e+18,-375.06390380859375,-1249.685546875,-374.72039794921875,-75.0365219116211,-74.9931411743164,-74.97382354736328,-500.3193054199219,-374.9949645996094
1.7758752981398418e+18,-374.6951904296875,-1249.685546875,-375.1816101074219,-75.04882049560547,-75.01158905029297,-74.95536804199219,-499.4580078125,-374.7489318847656
1.775875298140842e+18,-374.9102783203125,-1249.3780517578125,-374.72039794921875,-75.01192474365234,-75.02388763427734,-75.03535461425781,-499.8271179199219,-374.7181701660156
1.775875298141842e+18,-375.4326171875,-1249.275634765625,-374.8433837890625,-75.02422332763672,-74.97468566894531,-74.98612976074219,-500.44232177734375,-374.8719482421875
1.7758752981428419e+18,-375.2482604980469,-1250.1978759765625,-374.8126220703125,-75.01192474365234,-74.97468566894531,-74.96151733398438,-500.4013366699219,-374.9949645996094
1.775875298143842e+18,-374.84881591796875,-1249.7879638671875,-375.3045959472656,-74.98118591308594,-75.00543975830078,-75.05996704101562,-499.7450866699219,-374.7796936035156
1.775875298144842e+18,-374.8180847167969,-1250.6077880859375,-375.21234130859375,-74.97503662109375,-74.9992904663086,-75.04766082763672,-499.5400390625,-374.8719482421875
1.775875298145842e+18,-374.7566223144531,-1249.992919921875,-375.2738342285156,-74.95658874511719,-74.9931411743164,-75.0230484008789,-499.7861022949219,-374.6566467285156
1.775875298146842e+18,-374.8180847167969,-1249.0706787109375,-375.21234130859375,-75.00577545166016,-74.97468566894531,-74.96151733398438,-500.4013366699219,-375.11798095703125
1.775875298147842e+18,-374.8180847167969,-1249.992919921875,-375.3660888671875,-75.0303726196289,-74.98699188232422,-74.97998046875,-499.4990234375,-374.8719482421875
1.775875298148842e+18,-375.37115478515625,-1249.0706787109375,-375.0278625488281,-75.01192474365234,-74.96853637695312,-75.03535461425781,-500.0732116699219,-374.7489318847656
1.7758752981498422e+18,-374.8795471191406,-1249.992919921875,-375.2738342285156,-74.96888732910156,-74.9931411743164,-75.02920532226562,-499.5810546875,-375.0257263183594
1.775875298150842e+18,-375.1867980957031,-1249.4805908203125,-374.6281433105469,-74.96888732910156,-75.00543975830078,-75.03535461425781,-500.44232177734375,-375.08721923828125
1.775875298151842e+18,-375.3404541015625,-1250.40283203125,-375.05859375,-74.98118591308594,-74.94393920898438,-74.98612976074219,-499.9501647949219,-375.425537109375
