time,PT_FU_02,PT_N2_05,PT_GO2_04_1,PT_N2_19,PT_FU_01_1,PT_LO2_05,PT_N2_06,PT_GO2_03_1,PT_N2_12_2,PT_N2_08,PT_LO2_07,PT_N2_15,PT_N2_16,PT_N2_17,PT_FU_01_2,PT_GO2_05,PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2,PT_H2_03,PT_LO2_03,PT_LO2_04,PT_TI_01,PT_GG_01,PT_FU_04,Accel_AI,TC_LO2_03,TC_GO2_04_1,TC_GO2_04_2,TC_FU_01,TC_GO2_05,TC_H2_03,TC_FU_02,TC_LO2_04,TC_GG_01,TC_FU_04,TC_FU_05,TC_N2_12_1,TC_LO2_05,TC_LO2_07,ER_N2_06_state,ER_GO2_03_state,Accel_state,PV_N2_17_state,PV_N2_18_state,PV_N2_19_state,PV_LO2_03_state,PV_LO2_05_state,PV_LO2_01_state,PV_GO2_04_state,PV_FU_02_state,PV_FU_04_state,PV_LO2_04_state,SN_N2_08_state,SN_N2_09_state,SN_GO2_05_state,SN_H2_03_state,SN_N2_20_state,SN_N2_13_state,SN_N2_22_state,SN_N2_10_1_state,SN_N2_10_2_state,SN_CO2_01_state,SN_N2_11_state,SN_N2_12_state,Spark_Plug_state
1.7758752980636613e+18,,,,,,,,,,,,,,,,,-288.2130432128906,-312.59136962890625,-304.0819396972656,-283.61334228515625,-315.1211853027344,-311.4414367675781,-291.43280029296875,-337.8896179199219,108.25556945800781,43.30222702026367,43.30222702026367,-299.31793212890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980638065e+18,-375.0960998535156,-1251.3433837890625,-375.12481689453125,-74.95841979980469,-500.1730041503906,-375.55780029296875,-372.4765625,-374.82452392578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980638405e+18,,,,,,,,,-375.3097229003906,-1249.992919921875,-374.8126220703125,-75.01807403564453,-75.05463409423828,-74.97382354736328,-499.9911804199219,-375.425537109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.775875298064612e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-215.71531677246094,-21.571531295776367,-21.572189331054688,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.37783813476562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980646612e+18,,,,,,,,,,,,,,,,,-319.2608947753906,-305.46185302734375,-290.05291748046875,-316.7310791015625,-285.2232360839844,-311.2114562988281,-301.7821044921875,-306.61175537109375,108.25556945800781,43.30222702026367,43.30222702026367,-300.3035583496094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980648064e+18,-374.84991455078125,-1250.317626953125,-375.4325866699219,-75.00763702392578,-499.80389404296875,-374.9423828125,-382.5421447753906,-375.19354248046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980648404e+18,,,,,,,,,-375.00244140625,-1250.6077880859375,-374.93560791015625,-74.94429016113281,-74.96853637695312,-75.0107421875,-500.3603210449219,-374.62591552734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980648484e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2297.579833984375,21.98140525817871,2297.579833984375,2297.579833984375,2297.579833984375,2297.579833984375,2297.579833984375,24.678373336791992,2297.579833984375,2297.579833984375,2297.579833984375,2297.579833984375,2297.579833984375,2297.579833984375,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980656123e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-215.71531677246094,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.45994567871094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980656612e+18,,,,,,,,,,,,,,,,,-289.1329650878906,-317.4210205078125,-282.69342041015625,-316.5010986328125,-277.8637390136719,-308.681640625,-272.5740966796875,-309.83154296875,108.25556945800781,43.30222702026367,43.30222702026367,-299.0099182128906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980658063e+18,-374.81915283203125,-1250.215087890625,-375.40179443359375,-75.07530212402344,-500.2550354003906,-374.97314453125,-373.584716796875,-374.7322692871094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980658406e+18,,,,,,,,,-374.6644592285156,-1249.7879638671875,-375.08935546875,-75.05496215820312,-75.0484848022461,-74.9984359741211,-499.5810546875,-374.56439208984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980666122e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-215.71531677246094,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.570873260498047,-21.571531295776367,-180.4763641357422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980666614e+18,,,,,,,,,,,,,,,,,-302.4720458984375,-298.10235595703125,-322.0207214355469,-293.5026550292969,-318.1109924316406,-293.0426940917969,-301.7821044921875,-296.7224426269531,108.25556945800781,43.30222702026367,43.30222702026367,-300.3805847167969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980668063e+18,-375.3422546386719,-1249.599609375,-374.8170166015625,-75.01378631591797,-500.1319885253906,-374.4808349609375,-374.7851867675781,-375.16278076171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980668406e+18,,,,,,,,,-374.9102783203125,-1249.5830078125,-375.3353271484375,-75.00577545166016,-74.96238708496094,-75.00459289550781,-499.8271179199219,-374.56439208984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980676122e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-215.71531677246094,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.570873260498047,-21.571531295776367,-180.49278259277344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980676613e+18,,,,,,,,,,,,,,,,,-322.4806823730469,-292.5827331542969,-295.342529296875,-302.2420654296875,-270.0442810058594,-300.4021911621094,-263.8346862792969,-295.8025207519531,108.25556945800781,43.30222702026367,43.30222702026367,-298.65570068359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980678062e+18,-375.31146240234375,-1249.9073486328125,-374.9709167480469,-75.08145141601562,-499.9269104003906,-374.7577819824219,-379.0638427734375,-374.82452392578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980678405e+18,,,,,,,,,-374.8795471191406,-1249.4805908203125,-375.3045959472656,-74.98118591308594,-74.9931411743164,-75.04766082763672,-499.4990234375,-375.05645751953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.775875298068323e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.775875298068612e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-215.71531677246094,-21.572189331054688,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.572189331054688,-180.525634765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980686612e+18,,,,,,,,,,,,,,,,,-300.8621520996094,-296.0325012207031,-274.4139709472656,-303.1620178222656,-266.1345520019531,-295.342529296875,-266.5945129394531,-287.9830322265625,108.25556945800781,43.30222702026367,43.30222702026367,-297.8702392578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980688061e+18,-374.8807067871094,-1250.83056640625,-374.8785705566406,-74.9645767211914,-500.5831298828125,-375.0346984863281,-368.6904296875,-375.4087829589844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980688407e+18,,,,,,,,,-375.3097229003906,-1249.0706787109375,-374.93560791015625,-75.01807403564453,-74.97468566894531,-74.96151733398438,-500.3193054199219,-374.9949645996094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980690004e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.775875298069612e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-215.708740234375,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.59130859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980696612e+18,,,,,,,,,,,,,,,,,-269.5843200683594,-302.2420654296875,-294.652587890625,-284.07330322265625,-302.9320373535156,-290.05291748046875,-251.64553833007812,-290.28289794921875,108.25556945800781,43.30222702026367,43.30222702026367,-300.54998779296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.775875298069806e+18,-374.7575988769531,-1249.3944091796875,-374.7862548828125,-74.97687530517578,-499.43475341796875,-374.72698974609375,-369.0906066894531,-374.82452392578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758752980698406e+18,,,,,,,,,-375.06390380859375,-1249.8905029296875,-374.93560791015625,-74.97503662109375,-74.93778991699219,-74.93075561523438,-499.6220397949219,-374.7796936035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.775875298070612e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-215.708740234375,-21.571531295776367,-21.571531295776367,-21.572189331054688,-21.571531295776367,-21.571531295776367,-180.49278259277344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.775875298070661e+18,,,,,,,,,,,,,,,,,-303.3919982910156,-277.4037780761719,-307.9916687011719,-283.38336181640625,-301.7821044921875,-280.3935546875,-293.5026550292969,-278.3236999511719,108.25556945800781,43.30222702026367,43.30222702026367,-299.2563171386719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
