,P&ID Name,Model,Datasheet,Schematic,Voltage Inp,Current Req,Notes,Serial Numnbers,Serial Numnbers,Serial Numnbers,Serial Numnbers,Serial Numnbers,Serial Numnbers,Serial Numnbers,DAQ Connector,Hardware Connector,Connector Reasoning,Connector Docs,Has Connector?,Is Wire and Connector Done?,Can it be 8ft?,,
PTs,,,,,,PT Type,,,,,,,,,,,,,,,,,
,PT-N2-01,Ashcroft KM417F016P17000#G-5132,https://www.ashcroft.com/wp-content/uploads/2020/09/datasheet-km41-45-pressure-transducer-oem.pdf,,24v,Voltage,Order number from Ebay is KM417F016P17000#G-5132. Information found from company order book across various other products https://www.ashcroft.com/wp-content/uploads/2020/10/2018-OH-2-rev2.pdf. Ebay Link: https://www.ebay.com/itm/381460850644,Z150036639,,,,,,,GX16 4 pin,N/A,"PT is attached to signal line, only 1 connection and its to the DAQ",https://docs.google.com/document/d/1igkiJyqfDFM-1hxYIVTRYZL_jJcMlRdNxEPSetxwiOk/edit?tab=t.0,Not using,,,,
,PT-N2-03,Ashcroft KM417F016P17000#G-5132,https://www.ashcroft.com/wp-content/uploads/2020/09/datasheet-km41-45-pressure-transducer-oem.pdf,,24v,Voltage,Order number from Ebay is KM417F016P17000#G-5132. Information found from company order book across various other products https://www.ashcroft.com/wp-content/uploads/2020/10/2018-OH-2-rev2.pdf. Ebay Link: https://www.ebay.com/itm/381460850644,Z150036673,,,,,,,GX16 4 pin,N/A,"PT is attached to signal line, only 1 connection and its to the DAQ",https://docs.google.com/document/d/1igkiJyqfDFM-1hxYIVTRYZL_jJcMlRdNxEPSetxwiOk/edit?tab=t.0,Not using,,,,
,PT-N2-04,Ashcroft KM417F016P17000#G-5132,https://www.ashcroft.com/wp-content/uploads/2020/09/datasheet-km41-45-pressure-transducer-oem.pdf,,24v,Voltage,Order number from Ebay is KM417F016P17000#G-5132. Information found from company order book across various other products https://www.ashcroft.com/wp-content/uploads/2020/10/2018-OH-2-rev2.pdf. Ebay Link: https://www.ebay.com/itm/381460850644,Z150036636,,,,,,,GX16 4 pin,N/A,"PT is attached to signal line, only 1 connection and its to the DAQ",https://docs.google.com/document/d/1igkiJyqfDFM-1hxYIVTRYZL_jJcMlRdNxEPSetxwiOk/edit?tab=t.0,Not using,,,,
,PT-N2-05,MMSG2.5KV5P4J1T4A5,https://rspsupply.com/images/downloads/Omega/M/Omega%20MMSG1.5KC1P1C1T4A4CEP/Information%20Sheet.pdf,,12 or 24v,Voltage,,436459,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/1FrVB_ogRXbbFFOdp5zTJy6vPmmVjVqZ0moR568CW_qo/edit?tab=t.0,Y,,,done,
,PT-N2-06,MMSG1.5KC1P4D1T3A5,https://rspsupply.com/images/downloads/Omega/M/Omega%20MMSG1.5KC1P1C1T4A4CEP/Information%20Sheet.pdf,,24v,Current,,461144,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/1baeHK27YqX26ImMvQpznYM4p7AA2MErYiVkFYtqPNuw/edit?tab=t.0,Y,Yes(8ft),,done,
,PT-GO2-01,Ashcroft KM417F016P17000#G-5132,https://www.ashcroft.com/wp-content/uploads/2020/09/datasheet-km41-45-pressure-transducer-oem.pdf,,24v,Voltage,Order number from Ebay is KM417F016P17000#G-5132. Information found from company order book across various other products https://www.ashcroft.com/wp-content/uploads/2020/10/2018-OH-2-rev2.pdf. Ebay Link: https://www.ebay.com/itm/381460850644,Z150036624,,,,,,,GX16 4 pin,N/A,"PT is attached to signal line, only 1 connection and its to the DAQ",https://docs.google.com/document/d/1igkiJyqfDFM-1hxYIVTRYZL_jJcMlRdNxEPSetxwiOk/edit?tab=t.0,Not using,,,,
,PT-GO2-02,MMSG2.5KV5P4J1T4A5,https://rspsupply.com/images/downloads/Omega/M/Omega%20MMSG1.5KC1P1C1T4A4CEP/Information%20Sheet.pdf,,12 or 24v,Voltage,,,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/1FrVB_ogRXbbFFOdp5zTJy6vPmmVjVqZ0moR568CW_qo/edit?tab=t.0,Y,,,dobe,
,PT-GO2-03,Ashcroft KM417F016P17000#G-5132,https://www.ashcroft.com/wp-content/uploads/2020/09/datasheet-km41-45-pressure-transducer-oem.pdf,,24v,Voltage,Order number from Ebay is KM417F016P17000#G-5132. Information found from company order book across various other products https://www.ashcroft.com/wp-content/uploads/2020/10/2018-OH-2-rev2.pdf. Ebay Link: https://www.ebay.com/itm/381460850644,Z150036671,,,,,,,GX16 4 pin,N/A,"PT is attached to signal line, only 1 connection and its to the DAQ",https://docs.google.com/document/d/1igkiJyqfDFM-1hxYIVTRYZL_jJcMlRdNxEPSetxwiOk/edit?tab=t.0,Not using,,,,
,PT-H2-01,Ashcroft KM417F016P17000#G-5132,https://www.ashcroft.com/wp-content/uploads/2020/09/datasheet-km41-45-pressure-transducer-oem.pdf,,24v,Voltage,Order number from Ebay is KM417F016P17000#G-5132. Information found from company order book across various other products https://www.ashcroft.com/wp-content/uploads/2020/10/2018-OH-2-rev2.pdf. Ebay Link: https://www.ebay.com/itm/381460850644,Z150036670,,,,,,,GX16 4 pin,N/A,"PT is attached to signal line, only 1 connection and its to the DAQ",https://docs.google.com/document/d/1igkiJyqfDFM-1hxYIVTRYZL_jJcMlRdNxEPSetxwiOk/edit?tab=t.0,Not using,,,,
